operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,6,14,2,840,0,482,422,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,12,16,4,1140,0,533,428,8 - (50.00)%,570 - (50.00)%
2,0,1440,2280,7,11,5,810,0,393,288,0 - (0.00)%,0 - (0.00)%
3,0,1260,2280,5,11,0,960,0,642,597,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,7,15,0,1080,180,457,352,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,5,7,0,510,0,429,399,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,11,21,3,1470,0,502,352,16 - (76.19)%,1140 - (77.55)%
7,0,1620,2280,7,15,2,1020,0,518,398,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.75,2.0,978.75,22.5,494.5,404.5,12.0 - (63.09%),855.0 - (63.78%)
min,-,900,-,5,7,0,510,0,393,288,8 - (50.00%),570 - (50.00%)
25th percentile,-,1215.0,-,5.75,11.0,0.0,832.5,0.0,450.0,352.0,10.0 - (56.55%),712.5 - (56.89%)
75th percentile,-,1845.0,-,8.0,15.25,3.25,1095.0,0.0,521.75,423.5,14.0 - (69.64%),997.5 - (70.66%)
max,-,2160,-,12,21,5,1470,180,642,597,16 - (76.19%),1140 - (77.55%)
total,-,12240,18240,60,110,16,7830,180,3956,3236,24,1710
