test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.88,1.88,971.25,7.5,496.5,410.25,7.5 - (41.02%),495.0 - (38.38%),19020.86,0,2.08
1,mean,-,1530.0,2280.0,7.5,13.88,2.62,933.75,26.25,594.0,498.38,7.5 - (47.98%),495.0 - (45.43%),25207.01,0,2.3
2,mean,-,1530.0,2280.0,7.5,13.62,2.0,997.5,45.0,557.12,459.62,8.5 - (52.5%),555.0 - (50.0%),20065.16,0,2.24
3,mean,-,1530.0,2280.0,7.5,12.62,2.62,937.5,0.0,437.75,349.62,8.5 - (55.77%),630.0 - (59.6%),24411,6.4315e-05,2.73
4,mean,-,1530.0,2280.0,7.5,14.12,2.12,982.5,18.75,547.88,452.25,4.5 - (31.66%),270.0 - (29.4%),21239.15,0,2.15
5,mean,-,1530.0,2280.0,7.5,13.38,2.0,960.0,26.25,516.5,420.88,9.5 - (53.92%),690.0 - (55.76%),19964.01,0,2.23
6,mean,-,1530.0,2280.0,7.5,14.62,2.0,997.5,15.0,612.5,543.12,7.5 - (40.5%),540.0 - (39.61%),20619.72,0,2.48
7,mean,-,1530.0,2280.0,7.5,13.88,2.25,956.25,30.0,542.12,439.0,6.0 - (36.03%),435.0 - (37.33%),22183.44,0,2.41
8,mean,-,1530.0,2280.0,7.5,13.12,3.38,915.0,30.0,581.12,463.0,6.5 - (37.09%),450.0 - (36.17%),30833.44,0,2.7
9,mean,-,1530.0,2280.0,7.5,13.25,2.5,937.5,18.75,540.25,439.0,11.0 - (58.12%),765.0 - (57.78%),24034.15,0,1.9

0,total,-,12240,18240,60,111,15,7770,60,3972,3282,15,990,19020.86,0,2.08
1,total,-,12240,18240,60,111,21,7470,210,4752,3987,15,990,25207.01,0,2.3
2,total,-,12240,18240,60,109,16,7980,360,4457,3677,17,1110,20065.16,0,2.24
3,total,-,12240,18240,60,101,21,7500,0,3502,2797,17,1260,24411,6.4315e-05,2.73
4,total,-,12240,18240,60,113,17,7860,150,4383,3618,9,540,21239.15,0,2.15
5,total,-,12240,18240,60,107,16,7680,210,4132,3367,19,1380,19964.01,0,2.23
6,total,-,12240,18240,60,117,16,7980,120,4900,4345,15,1080,20619.72,0,2.48
7,total,-,12240,18240,60,111,18,7650,240,4337,3512,12,870,22183.44,0,2.41
8,total,-,12240,18240,60,105,27,7320,240,4649,3704,13,900,30833.44,0,2.7
9,total,-,12240,18240,60,106,20,7500,150,4322,3512,22,1530,24034.15,0,1.9
