test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.12,1.81,997.5,18.75,852.41,797.1,6.0 - (38.12%),427.5 - (39.75%),40284.42,0,30.5
1,mean,-,1507.5,2280.0,7.5,14.12,1.88,1014.38,60.0,726.57,660.94,4.25 - (31.19%),322.5 - (34.44%),39333.22,0,25.7
2,mean,-,1507.5,2280.0,7.5,13.69,1.44,1020.0,24.38,800.49,757.37,8.25 - (51.69%),607.5 - (49.22%),33774.76,7.6463e-05,29.62
3,mean,-,1507.5,2280.0,7.5,14.19,1.94,995.62,18.75,710.8,661.12,6.75 - (45.16%),487.5 - (45.68%),41085.43,7.4789e-05,19.88
4,mean,-,1507.5,2280.0,7.5,14.5,1.75,1020.0,13.12,843.0,787.69,8.0 - (49.54%),547.5 - (48.32%),38819.53,9.730811626e-06,23.19

0,total,-,24120,36480,120,226,29,15960,300,13638.57,12753.57,24,1710,40284.42,0,30.5
1,total,-,24120,36480,120,226,30,16230,960,11625.100000000002,10575.100000000002,17,1290,39333.22,0,25.7
2,total,-,24120,36480,120,219,23,16320,390,12807.849999999999,12117.849999999999,33,2430,33774.76,7.6463e-05,29.62
3,total,-,24120,36480,120,227,31,15930,300,11372.849999999999,10577.849999999999,27,1950,41085.43,7.4789e-05,19.88
4,total,-,24120,36480,120,232,28,16320,210,13487.99,12602.99,32,2190,38819.53,9.730811626e-06,23.19
