operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1860,2280,12,22,0,1530,0,941.65,881.65,14 - (63.64)%,840 - (54.90)%
1,1,1980,2280,9,16,0,1200,0,558.88,393.88,11 - (68.75)%,900 - (75.00)%
2,0,1560,2280,5,11,0,840,0,588.76,543.76,0 - (0.00)%,0 - (0.00)%
3,0,1740,2280,7,15,0,1020,0,448.27,328.27,0 - (0.00)%,0 - (0.00)%
4,0,1140,2280,6,16,0,1140,0,1337.85,1262.85,0 - (0.00)%,0 - (0.00)%
5,0,1320,2280,8,13,2,930,0,559.96,469.96,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,4,12,0,720,0,680.64,575.64,0 - (0.00)%,0 - (0.00)%
7,0,1200,2280,5,12,0,1050,0,993.33,933.33,0 - (0.00)%,0 - (0.00)%
8,0,1800,2280,10,14,0,1080,0,713.98,653.98,0 - (0.00)%,0 - (0.00)%
9,0,960,2280,6,16,0,960,0,996.59,966.59,0 - (0.00)%,0 - (0.00)%
10,0,1020,2280,6,11,2,780,0,783.3,723.3,0 - (0.00)%,0 - (0.00)%
11,0,1620,2280,7,20,2,1410,0,718.94,583.94,0 - (0.00)%,0 - (0.00)%
12,1,2040,2280,11,20,0,1350,0,941.32,836.32,10 - (50.00)%,750 - (55.56)%
13,0,1440,2280,5,12,0,900,0,556.21,526.21,0 - (0.00)%,0 - (0.00)%
14,1,2160,2280,9,20,0,1290,0,1050.78,1005.78,12 - (60.00)%,810 - (62.79)%
15,0,1380,2280,10,18,3,1380,0,1101.04,1026.04,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,15.5,0.56,1098.75,0.0,810.72,731.97,11.75 - (60.6%),825.0 - (62.06%)
min,-,900,-,4,11,0,720,0,448.27,328.27,10 - (50.00%),750 - (54.90%)
25th percentile,-,1185.0,-,5.75,12.0,0.0,922.5,0.0,581.56,539.37,10.75 - (57.5%),795.0 - (55.4%)
75th percentile,-,1815.0,-,9.25,18.5,0.5,1305.0,0.0,994.14,941.64,12.5 - (64.92%),855.0 - (65.84%)
max,-,2160,-,12,22,3,1530,0,1337.85,1262.85,14 - (68.75%),900 - (75.00%)
total,-,24120,36480,120,248,9,17580,0,12971.5,11711.5,47,3300
