test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280,7.5,15.5,0.56,1096.88,54.38,700.54,623.67,10.5 - (55.03%),750.0 - (57.41%),18727.12,0.000099226,5051.92
1,mean,-,1507.5,2280,7.5,15.31,0.94,1066.88,35.62,768.48,706.61,8.25 - (48.76%),592.5 - (47.88%),25623.42,0.016618578,16956.83
2,mean,-,1507.5,2280,7.5,15,1.06,1068.75,0,782.18,728.74,9.25 - (51.06%),682.5 - (50.28%),28127.75,0.000089919,9961.37
3,mean,-,1507.5,2280,7.5,15,0.94,1066.88,11.25,812.23,736.29,8.75 - (46.38%),652.5 - (45.98%),26075.23,0.000099781,2855.42
4,mean,-,1507.5,2280,7.5,15.81,0.69,1089.38,33.75,730.31,659.99,10.5 - (49.99%),667.5 - (47.54%),22073.92,0.000093207,5271.13
0,total,-,24120,36480,120,248,9,17550,870,11208.65,9978.65,42,3000,18727.12,0.000099226,5051.92
1,total,-,24120,36480,120,245,15,17070,570,12295.69,11305.69,33,2370,25623.42,0.016618578,16956.83
2,total,-,24120,36480,120,240,17,17100,0,12514.92,11659.92,37,2730,28127.75,0.000089919,9961.37
3,total,-,24120,36480,120,240,15,17070,180,12995.67,11780.67,35,2610,26075.23,0.000099781,2855.42
4,total,-,24120,36480,120,253,11,17430,540,11684.9,10559.9,42,2670,22073.92,0.000093207,5271.13
