operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,7,13,0,900,0,414,324,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,8,21,2,1260,0,488,308,16 - (76.19)%,960 - (76.19)%
2,1,1980,2280,8,17,1,1140,0,380,200,5 - (29.41)%,300 - (26.32)%
3,0,1440,2280,3,4,0,360,0,90,0,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,9,20,0,1320,0,518,368,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,10,20,0,1530,0,470,290,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,9,14,0,1200,0,362,242,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,6,11,1,1080,0,460,415,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.0,0.5,1098.75,0.0,397.75,268.38,10.5 - (52.8%),630.0 - (51.26%)
min,-,900,-,3,4,0,360,0,90,0,5 - (29.41%),300 - (26.32%)
25th percentile,-,1215.0,-,6.75,12.5,0.0,1035.0,0.0,375.5,231.5,7.75 - (41.1%),465.0 - (38.79%)
75th percentile,-,1845.0,-,9.0,20.0,1.0,1275.0,0.0,474.5,335.0,13.25 - (64.5%),795.0 - (63.72%)
max,-,2160,-,10,21,2,1530,0,518,415,16 - (76.19%),960 - (76.19%)
total,-,12240,18240,60,120,4,8790,0,3182,2147,21,1260
