test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.94,0.88,1068.75,26.25,848.58,778.27,6.25 - (38.99%),465.0 - (42.63%),25492.97,9.809e-05,3915.13
1,mean,-,1507.5,2280.0,7.5,14.94,1.19,1066.88,18.75,746.98,673.85,8.0 - (47.11%),622.5 - (52.24%),29021.3,0.016690567,15072.61
2,mean,-,1507.5,2280.0,7.5,15.69,0.44,1113.75,50.62,810.46,712.96,9.25 - (55.94%),697.5 - (56.52%),18167.46,0.009933074,16206.01
3,mean,-,1507.5,2280.0,7.5,15.06,0.75,1087.5,58.12,641.87,544.37,7.5 - (50.02%),562.5 - (51.8%),21282.81,9.9742e-05,4936.79
4,mean,-,1507.5,2280.0,7.5,15.5,0.56,1098.75,0.0,810.72,731.97,11.75 - (60.6%),825.0 - (62.06%),20609.36,9.7646e-05,1883.43

0,total,-,24120,36480,120,239,14,17100,420,13577.34,12452.34,25,1860,25492.97,9.809e-05,3915.13
1,total,-,24120,36480,120,239,19,17070,300,11951.61,10781.61,32,2490,29021.3,0.016690567,15072.61
2,total,-,24120,36480,120,251,7,17820,810,12967.39,11407.39,37,2790,18167.46,0.009933074,16206.01
3,total,-,24120,36480,120,241,12,17400,930,10269.89,8709.89,30,2250,21282.81,9.9742e-05,4936.79
4,total,-,24120,36480,120,248,9,17580,0,12971.5,11711.5,47,3300,20609.36,9.7646e-05,1883.43
