operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2040,2280,12,18,4,1350,0,629.81,554.81,8 - (44.44)%,570 - (42.22)%
1,0,1380,2280,8,16,0,1350,0,598.19,448.19,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,7,13,0,1050,0,624.88,594.88,6 - (46.15)%,450 - (42.86)%
3,0,1140,2280,9,16,1,1140,0,791.42,701.42,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,7,15,0,1320,0,661.32,631.32,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,9,16,0,1020,0,812.04,692.04,8 - (50.00)%,510 - (50.00)%
6,0,1620,2280,7,16,0,1050,0,593.5,503.5,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,4,9,0,660,0,600.33,600.33,0 - (0.00)%,0 - (0.00)%
8,0,960,2280,10,20,1,1530,570,709.85,619.85,0 - (0.00)%,0 - (0.00)%
9,0,1020,2280,6,11,0,930,0,547.29,472.29,0 - (0.00)%,0 - (0.00)%
10,0,1320,2280,8,18,1,1590,270,562.11,412.11,0 - (0.00)%,0 - (0.00)%
11,1,1860,2280,8,18,0,1260,0,771.17,666.17,5 - (27.78)%,300 - (23.81)%
12,0,1200,2280,7,15,0,900,0,721.64,601.64,0 - (0.00)%,0 - (0.00)%
13,0,1740,2280,5,12,0,810,0,574.52,544.52,0 - (0.00)%,0 - (0.00)%
14,0,1440,2280,6,13,0,1050,0,904.81,829.81,0 - (0.00)%,0 - (0.00)%
15,0,1560,2280,7,15,0,960,0,570.77,435.77,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,15.06,0.44,1123.12,52.5,667.1,581.79,6.75 - (42.09%),457.5 - (39.72%)
min,-,900,-,4,9,0,660,0,547.29,412.11,5 - (27.78%),300 - (23.81%)
25th percentile,-,1185.0,-,6.75,13.0,0.0,952.5,0.0,588.76,495.7,5.75 - (40.28%),412.5 - (37.62%)
75th percentile,-,1815.0,-,8.25,16.5,0.25,1327.5,0.0,734.02,640.03,8.0 - (47.11%),525.0 - (44.64%)
max,-,2160,-,12,20,4,1590,570,904.81,829.81,8 - (50.00%),570 - (50.00%)
total,-,24120,36480,120,241,7,17970,840,10673.65,9308.65,27,1830
