operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,9,19,2,1230,330,770,620,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,3,5,0,360,0,252,222,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,6,11,0,870,0,673,598,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,9,15,1,1020,0,531,396,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,12,19,8,1290,0,608,503,8 - (42.11)%,540 - (41.86)%
5,0,1260,2280,8,17,2,1200,0,850,670,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,6,12,2,930,0,478,418,5 - (41.67)%,420 - (45.16)%
7,0,1440,2280,7,13,0,960,0,338,128,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.88,1.88,982.5,41.25,562.5,444.38,6.5 - (41.89%),480.0 - (43.51%)
min,-,900,-,3,5,0,360,0,252,128,5 - (41.67%),420 - (41.86%)
25th percentile,-,1215.0,-,6.0,11.75,0.0,915.0,0.0,443.0,352.5,5.75 - (41.78%),450.0 - (42.68%)
75th percentile,-,1845.0,-,9.0,17.5,2.0,1207.5,0.0,697.25,603.5,7.25 - (42.0%),510.0 - (44.33%)
max,-,2160,-,12,19,8,1290,330,850,670,8 - (42.11%),540 - (45.16%)
total,-,12240,18240,60,111,15,7860,330,4500,3555,13,960
