operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,6,11,1,1050,0,611.82,551.82,5 - (45.45)%,450 - (42.86)%
1,0,1260,2280,7,16,0,1200,0,635.29,545.29,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,6,11,1,780,0,363.89,258.89,0 - (0.00)%,0 - (0.00)%
3,0,1620,2280,5,11,0,960,0,622.44,592.44,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,10,19,2,1440,540,480.74,270.74,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,8,15,1,1140,0,514.2,364.2,7 - (46.67)%,540 - (47.37)%
6,0,1800,2280,5,8,0,540,0,356.63,326.63,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,13,22,1,1560,480,613.38,418.38,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.12,0.75,1083.75,127.5,524.8,416.05,6.0 - (46.06%),495.0 - (45.11%)
min,-,900,-,5,8,0,540,0,356.63,258.89,5 - (45.45%),450 - (42.86%)
25th percentile,-,1215.0,-,5.75,11.0,0.0,915.0,0.0,451.53,312.66,5.5 - (45.76%),472.5 - (43.99%)
75th percentile,-,1845.0,-,8.5,16.75,1.0,1260.0,120.0,615.64,546.92,6.5 - (46.36%),517.5 - (46.24%)
max,-,2160,-,13,22,2,1560,540,635.29,592.44,7 - (46.67%),540 - (47.37%)
total,-,12240,18240,60,113,6,8670,1020,4198.39,3328.3900000000003,12,990
