operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,6,9,3,840,0,319,244,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,5,10,1,870,0,330,300,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,12,18,5,1260,0,619,469,9 - (50.00)%,720 - (57.14)%
3,0,1080,2280,7,13,1,1020,0,378,198,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,13,20,9,1410,0,600,465,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,8,13,1,870,0,429,354,8 - (61.54)%,540 - (62.07)%
6,0,900,2280,3,4,0,360,0,133,88,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,6,14,1,870,0,694,679,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,12.62,2.62,937.5,0.0,437.75,349.62,8.5 - (55.77%),630.0 - (59.6%)
min,-,900,-,3,4,0,360,0,133,88,8 - (50.00%),540 - (57.14%)
25th percentile,-,1215.0,-,5.75,9.75,1.0,862.5,0.0,327.25,232.5,8.25 - (52.88%),585.0 - (58.37%)
75th percentile,-,1845.0,-,9.0,15.0,3.5,1080.0,0.0,604.75,466.0,8.75 - (58.66%),675.0 - (60.84%)
max,-,2160,-,13,20,9,1410,0,694,679,9 - (61.54%),720 - (62.07%)
total,-,12240,18240,60,101,21,7500,0,3502,2797,17,1260
