test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.75,0.62,1095.0,0.0,522.52,395.02,7.0 - (40.36%),510.0 - (40.9%),9147.634,0,3.14
1,mean,-,1530.0,2280.0,7.5,15.62,0.75,1065.0,48.75,444.61,303.99,9.5 - (48.53%),585.0 - (48.0%),9869.906,4.6423e-05,3.2
2,mean,-,1530.0,2280.0,7.5,13.75,1.5,1016.25,11.25,538.59,371.71,7.0 - (42.64%),480.0 - (40.99%),15789.84,0,2.78
3,mean,-,1530.0,2280.0,7.5,14.5,1.25,1027.5,0.0,522.4,394.9,6.0 - (38.04%),465.0 - (40.12%),14206.76,0,2.58
4,mean,-,1530.0,2280.0,7.5,14.75,0.62,1098.75,0.0,579.44,470.69,9.0 - (50.0%),570.0 - (47.5%),9596.439,0,2.99
5,mean,-,1530.0,2280.0,7.5,15.0,0.88,1076.25,18.75,531.14,401.76,7.5 - (40.48%),525.0 - (40.2%),11086.62,9.3633e-05,5.13
6,mean,-,1530.0,2280.0,7.5,14.62,0.88,1068.75,37.5,486.38,355.13,11.0 - (61.25%),810.0 - (65.04%),11035.46,0,3.98
7,mean,-,1530.0,2280.0,7.5,15.38,0.88,1072.5,67.5,499.22,396.1,8.0 - (45.84%),570.0 - (45.7%),11088.78,2.4243e-05,8.68

0,total,-,12240,18240,60,126,5,8760,0,4180.2,3160.2,14,1020,9147.634,0,3.14
1,total,-,12240,18240,60,125,6,8520,390,3556.91,2431.91,19,1170,9869.906,4.6423e-05,3.2
2,total,-,12240,18240,60,110,12,8130,90,4308.7,2973.7,14,960,15789.84,0,2.78
3,total,-,12240,18240,60,116,10,8220,0,4179.200000000001,3159.2,12,930,14206.76,0,2.58
4,total,-,12240,18240,60,118,5,8790,0,4635.4800000000005,3765.4800000000005,18,1140,9596.439,0,2.99
5,total,-,12240,18240,60,120,7,8610,150,4249.09,3214.09,15,1050,11086.62,9.3633e-05,5.13
6,total,-,12240,18240,60,117,7,8550,300,3891.0099999999998,2841.0099999999998,22,1620,11035.46,0,3.98
7,total,-,12240,18240,60,123,7,8580,540,3993.7799999999997,3168.7799999999997,16,1140,11088.78,2.4243e-05,8.68
