operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,6,14,0,1110,210,673,583,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,8,16,5,1230,0,491,371,3 - (18.75)%,270 - (21.95)%
2,0,1620,2280,7,10,0,720,0,428,353,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,7,10,0,660,0,306,186,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,7,16,0,1170,0,405,180,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,11,18,4,1200,0,751,616,12 - (66.67)%,780 - (65.00)%
6,0,1440,2280,7,16,0,1050,0,315,0,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,7,17,1,1200,120,582,462,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.62,1.25,1042.5,41.25,493.88,343.88,7.5 - (42.71%),525.0 - (43.48%)
min,-,900,-,6,10,0,660,0,306,0,3 - (18.75%),270 - (21.95%)
25th percentile,-,1215.0,-,7.0,13.0,0.0,967.5,0.0,382.5,184.5,5.25 - (30.73%),397.5 - (32.71%)
75th percentile,-,1845.0,-,7.25,16.25,1.75,1200.0,30.0,604.75,492.25,9.75 - (54.69%),652.5 - (54.24%)
max,-,2160,-,11,18,5,1230,210,751,616,12 - (66.67%),780 - (65.00%)
total,-,12240,18240,60,117,10,8340,330,3951,2751,15,1050
