operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,7,13,0,1080,0,458,308,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,8,15,0,1020,0,630,480,6 - (40.00)%,360 - (35.29)%
2,0,1080,2280,5,4,1,240,0,205,190,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,9,19,2,1260,360,688,538,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,7,13,0,1050,0,330,210,7 - (53.85)%,630 - (60.00)%
5,0,1800,2280,9,21,5,1290,0,648,453,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,10,16,5,1140,0,611,506,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,5,11,2,840,0,485,425,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.0,1.88,990.0,45.0,506.88,388.75,6.5 - (46.92%),495.0 - (47.64%)
min,-,900,-,5,4,0,240,0,205,190,6 - (40.00%),360 - (35.29%)
25th percentile,-,1215.0,-,6.5,12.5,0.0,975.0,0.0,426.0,283.5,6.25 - (43.46%),427.5 - (41.47%)
75th percentile,-,1845.0,-,9.0,16.75,2.75,1170.0,0.0,634.5,486.5,6.75 - (50.39%),562.5 - (53.82%)
max,-,2160,-,10,21,5,1290,360,688,538,7 - (53.85%),630 - (60.00%)
total,-,12240,18240,60,112,15,7920,360,4055,3110,13,990
