test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.12,1.0,1053.75,0.0,561.73,409.85,5.0 - (35.0%),435.0 - (36.88%),11892.32,0,22.25
1,mean,-,1530.0,2280.0,7.5,15.5,0.75,1087.5,105.0,495.6,356.85,5.5 - (37.38%),390.0 - (36.4%),10205.2,0,4.39
2,mean,-,1530.0,2280.0,7.5,15.38,0.38,1125.0,82.5,522.8,408.42,9.5 - (52.5%),600.0 - (47.75%),7180.042,4.9338e-05,9.43
3,mean,-,1530.0,2280.0,7.5,14.5,1.12,1068.75,105.0,505.45,377.95,9.0 - (56.35%),570.0 - (56.81%),12922.91,8.8599e-05,2.47
4,mean,-,1530.0,2280.0,7.5,15.88,0.62,1102.5,18.75,562.3,432.92,5.5 - (34.31%),375.0 - (33.78%),9289.861,0,3.09
5,mean,-,1530.0,2280.0,7.5,14.75,0.88,1053.75,15.0,455.6,324.35,9.0 - (51.47%),570.0 - (46.41%),10991.13,0,2.59
6,mean,-,1530.0,2280.0,7.5,14.88,1.62,1027.5,0.0,479.95,281.2,5.0 - (34.82%),360.0 - (36.25%),16602.74,0,3.34
7,mean,-,1530.0,2280.0,7.5,14.5,1.62,1053.75,82.5,522.95,376.7,9.5 - (56.11%),840.0 - (58.61%),17106.08,0,2.78

0,total,-,12240,18240,60,121,8,8430,0,4493.83,3278.83,10,870,11892.32,0,22.25
1,total,-,12240,18240,60,124,6,8700,840,3964.77,2854.7700000000004,11,780,10205.2,0,4.39
2,total,-,12240,18240,60,123,3,9000,660,4182.360000000001,3267.3599999999997,19,1200,7180.042,4.9338e-05,9.43
3,total,-,12240,18240,60,116,9,8550,840,4043.6100000000006,3023.61,18,1140,12922.91,8.8599e-05,2.47
4,total,-,12240,18240,60,127,5,8820,150,4498.389999999999,3463.39,11,750,9289.861,0,3.09
5,total,-,12240,18240,60,118,7,8430,120,3644.7799999999997,2594.7799999999997,18,1140,10991.13,0,2.59
6,total,-,12240,18240,60,119,13,8220,0,3839.62,2249.62,10,720,16602.74,0,3.34
7,total,-,12240,18240,60,116,13,8430,660,4183.57,3013.5699999999997,19,1680,17106.08,0,2.78
