operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,7,14,4,960,0,285.0,0,8 - (57.14)%,600 - (62.50)%
1,0,1440,2280,8,14,1,1050,0,366.3,111.3,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,6,12,4,810,0,730.31,700.31,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,10,16,3,1200,0,640.44,505.44,2 - (12.50)%,120 - (10.00)%
4,0,1800,2280,6,13,0,990,0,255.0,0,0 - (0.00)%,0 - (0.00)%
5,0,1080,2280,5,10,0,660,0,567.36,507.36,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,9,20,1,1350,0,582.7,357.7,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,9,20,0,1200,0,412.51,67.51,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.88,1.62,1027.5,0.0,479.95,281.2,5.0 - (34.82%),360.0 - (36.25%)
min,-,900,-,5,10,0,660,0,255.0,0.0,2 - (12.50%),120 - (10.00%)
25th percentile,-,1215.0,-,6.0,12.75,0.0,922.5,0.0,345.98,50.63,3.5 - (23.66%),240.0 - (23.12%)
75th percentile,-,1845.0,-,9.0,17.0,3.25,1200.0,0.0,597.14,505.92,6.5 - (45.98%),480.0 - (49.38%)
max,-,2160,-,10,20,4,1350,0,730.31,700.31,8 - (57.14%),600 - (62.50%)
total,-,12240,18240,60,119,13,8220,0,3839.62,2249.62,10,720
