operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,4,7,2,540,0,202.08,97.08,0 - (0.00)%,0 - (0.00)%
1,0,1200,2280,8,16,7,960,0,1149.89,1089.89,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,7,12,0,780,0,545.87,515.87,0 - (0.00)%,0 - (0.00)%
3,0,1560,2280,10,14,8,900,0,698.79,653.79,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,10,15,7,1200,300,741.25,666.25,0 - (0.00)%,0 - (0.00)%
5,0,960,2280,7,11,1,780,0,524.82,464.82,0 - (0.00)%,0 - (0.00)%
6,0,1020,2280,5,7,1,480,0,356.97,326.97,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,6,15,0,990,0,719.53,614.53,0 - (0.00)%,0 - (0.00)%
8,0,1740,2280,9,20,4,1380,0,740.78,635.78,0 - (0.00)%,0 - (0.00)%
9,0,1380,2280,9,13,3,900,0,739.78,724.78,0 - (0.00)%,0 - (0.00)%
10,1,1860,2280,8,14,3,1140,0,696.52,681.52,6 - (42.86)%,510 - (44.74)%
11,1,2160,2280,7,13,4,990,0,960.22,960.22,2 - (15.38)%,120 - (12.12)%
12,1,2040,2280,9,16,1,1110,0,863.57,773.57,5 - (31.25)%,420 - (37.84)%
13,0,1320,2280,5,10,0,930,0,410.06,350.06,0 - (0.00)%,0 - (0.00)%
14,0,1140,2280,9,12,4,780,0,639.59,609.59,0 - (0.00)%,0 - (0.00)%
15,1,1980,2280,7,14,1,930,0,873.71,843.71,5 - (35.71)%,300 - (32.26)%

mean,-,1507.5,2280.0,7.5,13.06,2.88,924.38,18.75,678.96,625.53,4.5 - (31.3%),337.5 - (31.74%)
min,-,900,-,4,7,0,480,0,202.08,97.08,2 - (15.38%),120 - (12.12%)
25th percentile,-,1185.0,-,6.75,11.75,1.0,780.0,0.0,540.61,503.11,4.25 - (27.28%),255.0 - (27.22%)
75th percentile,-,1815.0,-,9.0,15.0,4.0,1020.0,0.0,771.83,736.98,5.25 - (37.5%),442.5 - (39.57%)
max,-,2160,-,10,20,8,1380,300,1149.89,1089.89,6 - (42.86%),510 - (44.74%)
total,-,24120,36480,120,209,46,14790,300,10863.43,10008.43,18,1350
