operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,5,6,0,420,0,344,284,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,11,20,3,1320,0,569,404,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,8,18,1,1350,0,547,412,8 - (44.44)%,690 - (51.11)%
3,1,1980,2280,8,16,1,1500,0,603,483,5 - (31.25)%,480 - (32.00)%
4,0,1440,2280,7,15,1,1170,0,426,321,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,6,11,1,780,0,406,301,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,7,13,0,930,0,459,354,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,8,16,2,1080,0,371,176,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.38,1.12,1068.75,0.0,465.62,341.88,6.5 - (37.84%),585.0 - (41.56%)
min,-,900,-,5,6,0,420,0,344,176,5 - (31.25%),480 - (32.00%)
25th percentile,-,1215.0,-,6.75,12.5,0.75,892.5,0.0,397.25,296.75,5.75 - (34.55%),532.5 - (36.78%)
75th percentile,-,1845.0,-,8.0,16.5,1.25,1327.5,0.0,552.5,406.0,7.25 - (41.14%),637.5 - (46.33%)
max,-,2160,-,11,20,3,1500,0,603,483,8 - (44.44%),690 - (51.11%)
total,-,12240,18240,60,115,9,8550,0,3725,2735,13,1170
