operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,6,17,0,1200,120,534.66,429.66,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,10,21,1,1620,0,748.2,643.2,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,8,14,1,1170,0,459.44,339.44,6 - (42.86)%,420 - (35.90)%
3,1,2160,2280,10,20,2,1500,0,604.62,484.62,12 - (60.00)%,930 - (62.00)%
4,0,1260,2280,5,10,0,720,0,410.91,350.91,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,9,15,1,1110,210,661.79,526.79,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,6,10,0,690,0,303.73,213.73,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,6,12,0,870,0,286.7,166.7,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.88,0.62,1110.0,41.25,501.26,394.38,9.0 - (51.43%),675.0 - (48.95%)
min,-,900,-,5,10,0,690,0,286.7,166.7,6 - (42.86%),420 - (35.90%)
25th percentile,-,1215.0,-,6.0,11.5,0.0,832.5,0.0,384.12,308.01,7.5 - (47.14%),547.5 - (42.42%)
75th percentile,-,1845.0,-,9.25,17.75,1.0,1275.0,30.0,618.91,495.16,10.5 - (55.72%),802.5 - (55.48%)
max,-,2160,-,10,21,2,1620,210,748.2,643.2,12 - (60.00%),930 - (62.00%)
total,-,12240,18240,60,119,5,8880,330,4010.05,3155.05,18,1350
