operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,8,19,3,1260,0,725.57,590.57,13 - (68.42)%,840 - (66.67)%
1,1,2160,2280,10,15,2,1140,0,627.66,447.66,5 - (33.33)%,510 - (44.74)%
2,0,1080,2280,9,13,1,1080,0,402.41,282.41,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,9,21,0,1320,0,650.33,410.33,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,8,18,0,1140,0,731.03,566.03,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,6,15,0,1020,120,364.69,229.69,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,5,9,0,660,0,419.69,359.69,0 - (0.00)%,0 - (0.00)%
7,0,1800,2280,5,11,1,810,0,517.45,472.45,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.12,0.88,1053.75,15.0,554.85,419.85,9.0 - (50.88%),675.0 - (55.7%)
min,-,900,-,5,9,0,660,0,364.69,229.69,5 - (33.33%),510 - (44.74%)
25th percentile,-,1215.0,-,5.75,12.5,0.0,967.5,0.0,415.37,340.37,7.0 - (42.1%),592.5 - (50.22%)
75th percentile,-,1845.0,-,9.0,18.25,1.25,1170.0,0.0,669.14,495.84,11.0 - (59.65%),757.5 - (61.19%)
max,-,2160,-,10,21,3,1320,120,731.03,590.57,13 - (68.42%),840 - (66.67%)
total,-,12240,18240,60,121,7,8430,120,4438.83,3358.83,18,1350
