operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,7,18,1,1140,0,413,128,11 - (61.11)%,720 - (63.16)%
1,0,1080,2280,12,21,5,1380,300,610,385,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,4,9,0,630,0,255,210,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,8,17,2,1140,240,384,144,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,8,17,0,1110,0,638,518,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,8,17,1,1290,30,554,524,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,9,17,1,1230,0,464,329,5 - (29.41)%,390 - (31.71)%
7,0,1800,2280,4,7,0,420,0,342,297,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.38,1.25,1042.5,71.25,457.5,316.88,8.0 - (45.26%),555.0 - (47.44%)
min,-,900,-,4,7,0,420,0,255,128,5 - (29.41%),390 - (31.71%)
25th percentile,-,1215.0,-,6.25,15.0,0.0,990.0,0.0,373.5,193.5,6.5 - (37.34%),472.5 - (39.57%)
75th percentile,-,1845.0,-,8.25,17.25,1.25,1245.0,82.5,568.0,418.25,9.5 - (53.18%),637.5 - (55.3%)
max,-,2160,-,12,21,5,1380,300,638,524,11 - (61.11%),720 - (63.16%)
total,-,12240,18240,60,123,10,8340,570,3660,2535,16,1110
