operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,7,15,0,1050,0,380.29,215.29,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,7,15,1,1140,0,464.48,359.48,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,5,12,0,810,0,391.0,316.0,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,9,16,0,1140,60,568.99,463.99,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,8,16,0,1080,0,535.62,490.62,3 - (18.75)%,240 - (22.22)%
5,1,1980,2280,7,14,1,900,0,462.51,357.51,6 - (42.86)%,390 - (43.33)%
6,0,1800,2280,7,20,0,1260,0,532.71,322.71,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,10,23,0,1590,330,563.89,323.89,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,16.38,0.25,1121.25,48.75,487.44,356.19,4.5 - (30.8%),315.0 - (32.77%)
min,-,900,-,5,12,0,810,0,380.29,215.29,3 - (18.75%),240 - (22.22%)
25th percentile,-,1215.0,-,7.0,14.75,0.0,1012.5,0.0,444.63,321.03,3.75 - (24.78%),277.5 - (27.5%)
75th percentile,-,1845.0,-,8.25,17.0,0.25,1170.0,15.0,542.69,385.61,5.25 - (36.83%),352.5 - (38.05%)
max,-,2160,-,10,23,1,1590,330,568.99,490.62,6 - (42.86%),390 - (43.33%)
total,-,12240,18240,60,131,2,8970,390,3899.49,2849.49,9,630
