operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,10,17,4,1140,240,616,466,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,12,23,7,1560,0,864,729,13 - (56.52)%,840 - (53.85)%
2,1,1980,2280,8,15,3,1110,0,588,378,7 - (46.67)%,510 - (45.95)%
3,0,1440,2280,7,20,0,1200,0,700,520,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,6,10,1,780,0,348,228,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,4,5,0,360,0,282,252,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,6,9,1,660,0,357,252,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,7,13,0,960,0,576,531,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.0,2.0,971.25,30.0,541.38,419.5,10.0 - (51.59%),675.0 - (49.9%)
min,-,900,-,4,5,0,360,0,282,228,7 - (46.67%),510 - (45.95%)
25th percentile,-,1215.0,-,6.0,9.75,0.0,750.0,0.0,354.75,252.0,8.5 - (49.13%),592.5 - (47.92%)
75th percentile,-,1845.0,-,8.5,17.75,3.25,1155.0,0.0,637.0,522.75,11.5 - (54.06%),757.5 - (51.88%)
max,-,2160,-,12,23,7,1560,240,864,729,13 - (56.52%),840 - (53.85%)
total,-,12240,18240,60,112,16,7770,240,4331,3356,20,1350
