operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,9,21,1,1350,0,470,320,11 - (52.38)%,750 - (55.56)%
1,0,1800,2280,5,12,0,840,0,312,162,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,7,13,0,960,0,383,248,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,11,22,3,1530,0,745,640,10 - (45.45)%,600 - (39.22)%
4,0,1440,2280,9,19,2,1500,60,812,677,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,7,12,0,810,0,598,538,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,6,10,0,750,0,334,259,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,6,14,2,930,30,285,0,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.38,1.0,1083.75,11.25,492.38,355.5,10.5 - (48.92%),675.0 - (47.39%)
min,-,900,-,5,10,0,750,0,285,0,10 - (45.45%),600 - (39.22%)
25th percentile,-,1215.0,-,6.0,12.0,0.0,832.5,0.0,328.5,226.5,10.25 - (47.18%),637.5 - (43.3%)
75th percentile,-,1845.0,-,9.0,19.5,2.0,1387.5,7.5,634.75,563.5,10.75 - (50.65%),712.5 - (51.48%)
max,-,2160,-,11,22,3,1530,60,812,677,11 - (52.38%),750 - (55.56%)
total,-,12240,18240,60,123,8,8670,90,3939,2844,21,1350
