operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,7,16,2,1110,0,570.82,480.82,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,13,16,9,1020,0,647.68,587.68,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,6,14,1,960,0,551.03,476.03,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,7,14,0,900,0,525.36,420.36,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,9,13,4,1020,120,529.26,454.26,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,4,8,0,600,0,298.01,283.01,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,5,11,0,780,0,551.19,521.19,4 - (36.36)%,360 - (46.15)%
7,0,1440,2280,9,16,7,1110,0,366.5,201.5,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.5,2.88,937.5,15.0,504.98,428.11,2.0 - (18.18%),180.0 - (23.07%)
min,-,900,-,4,8,0,600,0,298.01,201.5,4 - (36.36%),360 - (46.15%)
25th percentile,-,1215.0,-,5.75,12.5,0.0,870.0,0.0,485.64,386.02,4.0 - (36.36%),360.0 - (46.15%)
75th percentile,-,1845.0,-,9.0,16.0,4.75,1042.5,0.0,556.1,490.91,4.0 - (36.36%),360.0 - (46.15%)
max,-,2160,-,13,16,9,1110,120,647.68,587.68,4 - (36.36%),360 - (46.15%)
total,-,12240,18240,60,108,23,7500,120,4039.85,3424.85,4,360
