test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.0,1.25,1057.5,3.75,475.88,361.5,7.5 - (52.26%),510.0 - (51.28%),14149.43,9.6942e-05,40.18
1,mean,-,1530.0,2280.0,7.5,13.88,1.5,1020.0,33.75,476.25,354.38,9.0 - (58.54%),675.0 - (57.92%),15575.87,0,5.38
2,mean,-,1530.0,2280.0,7.5,15.0,1.25,1050.0,15.0,592.0,445.75,7.0 - (43.2%),420.0 - (40.69%),14302.72,0,4.2
3,mean,-,1530.0,2280.0,7.5,15.25,1.0,1072.5,75.0,496.12,381.75,7.0 - (43.7%),450.0 - (45.04%),12323.6,0,2.48
4,mean,-,1530.0,2280.0,7.5,14.88,1.25,1061.25,15.0,523.62,414.88,9.5 - (54.41%),660.0 - (56.48%),13939.72,0,2.12
5,mean,-,1530.0,2280.0,7.5,14.38,1.12,1068.75,0.0,465.62,341.88,6.5 - (37.84%),585.0 - (41.56%),13026,0,2.48
6,mean,-,1530.0,2280.0,7.5,15.62,1.12,1057.5,82.5,520.75,389.5,7.0 - (38.81%),495.0 - (42.36%),12996.46,0,2.81
7,mean,-,1530.0,2280.0,7.5,15.25,0.88,1076.25,0.0,430.12,259.5,10.0 - (56.37%),675.0 - (57.31%),10753,0,3.03
8,mean,-,1530.0,2280.0,7.5,15.25,0.75,1076.25,45.0,438.25,301.38,8.5 - (47.22%),570.0 - (44.43%),9922.16,0,2.51
9,mean,-,1530.0,2280.0,7.5,15.0,1.12,1053.75,18.75,534.5,412.62,12.0 - (61.23%),900.0 - (61.62%),13265.15,0,2.51

0,total,-,12240,18240,60,120,10,8460,30,3807,2892,15,1020,14149.43,9.6942e-05,40.18
1,total,-,12240,18240,60,111,12,8160,270,3810,2835,18,1350,15575.87,0,5.38
2,total,-,12240,18240,60,120,10,8400,120,4736,3566,14,840,14302.72,0,4.2
3,total,-,12240,18240,60,122,8,8580,600,3969,3054,14,900,12323.6,0,2.48
4,total,-,12240,18240,60,119,10,8490,120,4189,3319,19,1320,13939.72,0,2.12
5,total,-,12240,18240,60,115,9,8550,0,3725,2735,13,1170,13026,0,2.48
6,total,-,12240,18240,60,125,9,8460,660,4166,3116,14,990,12996.46,0,2.81
7,total,-,12240,18240,60,122,7,8610,0,3441,2076,20,1350,10753,0,3.03
8,total,-,12240,18240,60,122,6,8610,360,3506,2411,17,1140,9922.16,0,2.51
9,total,-,12240,18240,60,120,9,8430,150,4276,3301,24,1800,13265.15,0,2.51
