test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.5,1.56,1016.25,35.62,880.28,815.6,6.5 - (35.72%),442.5 - (34.8%),36703.21,0,33.58
1,mean,-,1507.5,2280.0,7.5,15.06,1.31,1046.25,22.5,707.4,636.15,7.25 - (42.07%),487.5 - (40.86%),31176.57,2.5515e-05,28.86
2,mean,-,1507.5,2280.0,7.5,15.12,1.38,1046.25,28.12,971.59,901.28,8.5 - (44.04%),607.5 - (46.32%),33993.46,9.5026e-05,34.3
3,mean,-,1507.5,2280.0,7.5,14.44,1.56,1031.25,0.0,782.45,733.7,8.75 - (50.96%),607.5 - (51.21%),36555.22,0,23.01
4,mean,-,1507.5,2280.0,7.5,13.75,2.0,991.88,9.38,841.07,764.19,6.5 - (42.38%),472.5 - (42.24%),42822.54,7.5609e-05,247.46

0,total,-,24120,36480,120,232,25,16260,570,14084.539999999999,13049.539999999999,26,1770,36703.21,0,33.58
1,total,-,24120,36480,120,241,21,16740,360,11318.349999999999,10178.349999999999,29,1950,31176.57,2.5515e-05,28.86
2,total,-,24120,36480,120,242,22,16740,450,15545.420000000002,14420.42,34,2430,33993.46,9.5026e-05,34.3
3,total,-,24120,36480,120,231,25,16500,0,12519.220000000001,11739.220000000001,35,2430,36555.22,0,23.01
4,total,-,24120,36480,120,220,32,15870,150,13457.07,12227.07,26,1890,42822.54,7.5609e-05,247.46
