test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.25,1.12,1065.0,3.75,510.62,388.75,8.5 - (44.72%),660.0 - (48.81%),13286.43,0,2.97
1,mean,-,1530.0,2280.0,7.5,15.88,0.5,1091.25,0.0,438.75,273.75,7.5 - (39.27%),495.0 - (38.37%),7863,0,2.25
2,mean,-,1530.0,2280.0,7.5,14.75,1.25,1038.75,0.0,600.5,476.75,15.0 - (70.02%),975.0 - (68.06%),14224,0,3.16
3,mean,-,1530.0,2280.0,7.5,15.88,1.0,1080.0,11.25,560.12,442.0,8.5 - (45.28%),510.0 - (42.6%),12154.29,0,2.58
4,mean,-,1530.0,2280.0,7.5,14.62,1.25,1020.0,0.0,405.25,244.0,9.0 - (56.87%),585.0 - (53.16%),13266,0,4.01
5,mean,-,1530.0,2280.0,7.5,15.12,1.0,1053.75,41.25,564.12,442.25,9.0 - (50.0%),615.0 - (51.04%),12303.73,0,3.52
6,mean,-,1530.0,2280.0,7.5,14.62,1.0,1068.75,0.0,537.0,409.5,9.0 - (46.45%),705.0 - (49.74%),12266,0,3.68
7,mean,-,1530.0,2280.0,7.5,15.25,1.0,1076.25,41.25,588.5,423.5,5.0 - (29.96%),360.0 - (33.34%),12032.73,0,3.3
8,mean,-,1530.0,2280.0,7.5,14.62,1.25,1042.5,41.25,493.88,343.88,7.5 - (42.71%),525.0 - (43.48%),13581.73,0,3.0
9,mean,-,1530.0,2280.0,7.5,15.12,0.88,1076.25,82.5,507.25,402.25,10.5 - (55.55%),690.0 - (54.96%),11385.46,0,4.23

0,total,-,12240,18240,60,122,9,8520,30,4085,3110,17,1320,13286.43,0,2.97
1,total,-,12240,18240,60,127,4,8730,0,3510,2190,15,990,7863,0,2.25
2,total,-,12240,18240,60,118,10,8310,0,4804,3814,30,1950,14224,0,3.16
3,total,-,12240,18240,60,127,8,8640,90,4481,3536,17,1020,12154.29,0,2.58
4,total,-,12240,18240,60,117,10,8160,0,3242,1952,18,1170,13266,0,4.01
5,total,-,12240,18240,60,121,8,8430,330,4513,3538,18,1230,12303.73,0,3.52
6,total,-,12240,18240,60,117,8,8550,0,4296,3276,18,1410,12266,0,3.68
7,total,-,12240,18240,60,122,8,8610,330,4708,3388,10,720,12032.73,0,3.3
8,total,-,12240,18240,60,117,10,8340,330,3951,2751,15,1050,13581.73,0,3.0
9,total,-,12240,18240,60,121,7,8610,660,4058,3218,21,1380,11385.46,0,4.23
