test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.88,0.75,1080.0,90.0,567.14,441.51,8.5 - (55.8%),540.0 - (56.67%),10606.68,0,2.78
1,mean,-,1530.0,2280.0,7.5,14.88,1.38,1035.0,0.0,453.76,286.88,12.5 - (63.98%),825.0 - (60.35%),15032.35,0,2.96
2,mean,-,1530.0,2280.0,7.5,14.5,1.75,1031.25,45.0,597.9,477.9,9.5 - (55.89%),705.0 - (58.69%),18228.25,4.823992159e-06,6.94
3,mean,-,1530.0,2280.0,7.5,14.62,0.75,1068.75,52.5,574.79,473.54,9.0 - (51.39%),630.0 - (51.0%),10508.77,0,2.67
4,mean,-,1530.0,2280.0,7.5,15.62,1.12,1057.5,22.5,716.42,590.8,8.5 - (43.65%),555.0 - (42.34%),14372.92,0,2.44
5,mean,-,1530.0,2280.0,7.5,14.12,0.75,1083.75,127.5,524.8,416.05,6.0 - (46.06%),495.0 - (45.11%),10101.87,8.3393e-05,4.55
6,mean,-,1530.0,2280.0,7.5,15.5,0.62,1106.25,52.5,590.21,464.58,10.0 - (56.06%),675.0 - (55.67%),9835.805,0,2.42
7,mean,-,1530.0,2280.0,7.5,14.88,0.62,1110.0,41.25,501.26,394.38,9.0 - (51.43%),675.0 - (48.95%),9203.847,0,2.27

0,total,-,12240,18240,60,119,6,8640,720,4537.08,3532.0799999999995,17,1080,10606.68,0,2.78
1,total,-,12240,18240,60,119,11,8280,0,3630.06,2295.06,25,1650,15032.35,0,2.96
2,total,-,12240,18240,60,116,14,8250,360,4783.17,3823.17,19,1410,18228.25,4.823992159e-06,6.94
3,total,-,12240,18240,60,117,6,8550,420,4598.3,3788.3,18,1260,10508.77,0,2.67
4,total,-,12240,18240,60,125,9,8460,180,5731.370000000001,4726.370000000001,17,1110,14372.92,0,2.44
5,total,-,12240,18240,60,113,6,8670,1020,4198.39,3328.3900000000003,12,990,10101.87,8.3393e-05,4.55
6,total,-,12240,18240,60,124,5,8850,420,4721.68,3716.6800000000003,20,1350,9835.805,0,2.42
7,total,-,12240,18240,60,119,5,8880,330,4010.05,3155.05,18,1350,9203.847,0,2.27
