operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,5,11,1,720,0,681,606,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,13,21,15,1410,0,1078,988,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,5,9,0,750,0,551,536,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,6,10,0,720,0,424,364,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,9,19,1,1200,0,561,426,9 - (47.37)%,540 - (45.00)%
5,0,1620,2280,6,13,0,900,0,306,66,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,9,15,0,1020,0,528,408,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,7,16,1,1080,0,691,556,7 - (43.75)%,480 - (44.44)%

mean,-,1530.0,2280.0,7.5,14.25,2.25,975.0,0.0,602.5,493.75,8.0 - (45.56%),510.0 - (44.72%)
min,-,900,-,5,9,0,720,0,306,66,7 - (43.75%),480 - (44.44%)
25th percentile,-,1215.0,-,5.75,10.75,0.0,742.5,0.0,502.0,397.0,7.5 - (44.66%),495.0 - (44.58%)
75th percentile,-,1845.0,-,9.0,16.75,1.0,1110.0,0.0,683.5,568.5,8.5 - (46.46%),525.0 - (44.86%)
max,-,2160,-,13,21,15,1410,0,1078,988,9 - (47.37%),540 - (45.00%)
total,-,12240,18240,60,114,18,7800,0,4820,3950,16,1020
