operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,9,15,0,1260,0,414,294,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,4,8,0,540,0,309,204,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,9,19,1,1410,0,604,484,6 - (31.58)%,450 - (31.91)%
3,0,1800,2280,8,18,0,1290,0,375,120,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,10,20,0,1530,0,569,419,15 - (75.00)%,1170 - (76.47)%
5,0,1260,2280,6,13,0,990,0,270,0,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,6,14,0,990,0,429,324,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,8,16,1,1080,0,424,334,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.38,0.25,1136.25,0.0,424.25,272.38,10.5 - (53.29%),810.0 - (54.19%)
min,-,900,-,4,8,0,540,0,270,0,6 - (31.58%),450 - (31.91%)
25th percentile,-,1215.0,-,6.0,13.75,0.0,990.0,0.0,358.5,183.0,8.25 - (42.44%),630.0 - (43.05%)
75th percentile,-,1845.0,-,9.0,18.25,0.25,1320.0,0.0,464.0,355.25,12.75 - (64.14%),990.0 - (65.33%)
max,-,2160,-,10,20,1,1530,0,604,484,15 - (75.00%),1170 - (76.47%)
total,-,12240,18240,60,123,2,9090,0,3394,2179,21,1620
