test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.75,1.0,1046.25,56.25,471.75,301.12,12.5 - (62.5%),900.0 - (65.84%),12109.45,0,3.19
1,mean,-,1530.0,2280.0,7.5,14.62,1.38,1046.25,78.75,636.12,534.88,10.0 - (62.35%),720.0 - (63.2%),15522.03,0,13.63
2,mean,-,1530.0,2280.0,7.5,14.62,1.5,1046.25,0.0,569.38,423.12,9.0 - (53.47%),735.0 - (55.42%),15662,9.5454e-05,12.76
3,mean,-,1530.0,2280.0,7.5,14.88,1.25,1061.25,0.0,437.5,302.5,11.0 - (58.34%),750.0 - (57.0%),13636,3.692e-05,10.16
4,mean,-,1530.0,2280.0,7.5,15.38,0.62,1087.5,0.0,486.62,340.38,8.5 - (43.42%),555.0 - (41.54%),8759,0,12.29
5,mean,-,1530.0,2280.0,7.5,14.75,1.12,1042.5,22.5,527.0,388.25,6.0 - (42.56%),435.0 - (40.99%),12716.58,9.6447e-05,9.27
6,mean,-,1530.0,2280.0,7.5,15.25,0.5,1091.25,41.25,518.0,390.5,8.5 - (47.22%),585.0 - (47.0%),8217.73,9.5067e-05,173.1
7,mean,-,1530.0,2280.0,7.5,16.0,0.5,1110.0,41.25,513.25,344.5,5.0 - (32.54%),315.0 - (30.59%),7956.73,0,2.77
8,mean,-,1530.0,2280.0,7.5,15.12,0.62,1102.5,0.0,425.62,271.88,9.0 - (44.45%),660.0 - (44.89%),8607,9.2948e-05,665.7
9,mean,-,1530.0,2280.0,7.5,14.25,1.38,1042.5,26.25,673.5,566.62,7.0 - (40.84%),450.0 - (37.17%),15061.01,6.7366e-05,10.41

0,total,-,12240,18240,60,118,8,8370,450,3774,2409,25,1800,12109.45,0,3.19
1,total,-,12240,18240,60,117,11,8370,630,5089,4279,20,1440,15522.03,0,13.63
2,total,-,12240,18240,60,117,12,8370,0,4555,3385,18,1470,15662,9.5454e-05,12.76
3,total,-,12240,18240,60,119,10,8490,0,3500,2420,22,1500,13636,3.692e-05,10.16
4,total,-,12240,18240,60,123,5,8700,0,3893,2723,17,1110,8759,0,12.29
5,total,-,12240,18240,60,118,9,8340,180,4216,3106,12,870,12716.58,9.6447e-05,9.27
6,total,-,12240,18240,60,122,4,8730,330,4144,3124,17,1170,8217.73,9.5067e-05,173.1
7,total,-,12240,18240,60,128,4,8880,330,4106,2756,10,630,7956.73,0,2.77
8,total,-,12240,18240,60,121,5,8820,0,3405,2175,18,1320,8607,9.2948e-05,665.7
9,total,-,12240,18240,60,114,11,8340,210,5388,4533,14,900,15061.01,6.7366e-05,10.41
