operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,8,19,1,1410,0,468,198,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,5,9,0,720,0,228,138,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,7,19,0,1260,0,440,230,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,10,17,3,1200,300,572,467,0 - (0.00)%,0 - (0.00)%
4,0,1440,2280,6,12,0,840,0,468,393,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,9,17,3,1380,0,562,427,10 - (58.82)%,780 - (56.52)%
6,0,1800,2280,7,10,0,600,0,330,210,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,8,16,0,1140,0,485,335,7 - (43.75)%,540 - (47.37)%

mean,-,1530.0,2280.0,7.5,14.88,0.88,1068.75,37.5,444.12,299.75,8.5 - (51.28%),660.0 - (51.94%)
min,-,900,-,5,9,0,600,0,228,138,7 - (43.75%),540 - (47.37%)
25th percentile,-,1215.0,-,6.75,11.5,0.0,810.0,0.0,412.5,207.0,7.75 - (47.52%),600.0 - (49.66%)
75th percentile,-,1845.0,-,8.25,17.5,1.5,1290.0,0.0,504.25,401.5,9.25 - (55.05%),720.0 - (54.23%)
max,-,2160,-,10,19,3,1410,300,572,467,10 - (58.82%),780 - (56.52%)
total,-,12240,18240,60,119,7,8550,300,3553,2398,17,1320
