test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.0,0.88,1068.75,60.0,520.25,392.75,6.0 - (36.95%),450.0 - (37.89%),11587.03,0,2.69
1,mean,-,1530.0,2280.0,7.5,13.25,2.62,915.0,7.5,514.22,390.46,10.5 - (61.11%),630.0 - (57.74%),25080.68,0,1.96
2,mean,-,1530.0,2280.0,7.5,14.88,1.12,1050.0,22.5,582.99,476.12,7.5 - (44.5%),495.0 - (41.88%),13315.41,0,2.23
3,mean,-,1530.0,2280.0,7.5,14.5,1.5,1038.75,33.75,718.84,617.59,5.0 - (35.58%),360.0 - (38.89%),17110.51,7.7946e-05,2.75
4,mean,-,1530.0,2280.0,7.5,13.88,1.88,982.5,67.5,490.58,376.21,5.0 - (37.09%),375.0 - (33.9%),19100.92,0,2.46
5,mean,-,1530.0,2280.0,7.5,13.38,2.75,926.25,7.5,448.36,362.11,6.0 - (41.43%),360.0 - (37.64%),25685.2,0,2.38
6,mean,-,1530.0,2280.0,7.5,13.5,2.12,948.75,11.25,514.05,409.05,8.5 - (56.34%),510.0 - (52.71%),20656.4,0,2.47
7,mean,-,1530.0,2280.0,7.5,13.38,2.62,945.0,30.0,539.72,455.35,4.0 - (24.88%),270.0 - (23.97%),25125.57,0,2.07

0,total,-,12240,18240,60,120,7,8550,480,4162.01,3142.0099999999998,12,900,11587.03,0,2.69
1,total,-,12240,18240,60,106,21,7320,60,4113.72,3123.7200000000003,21,1260,25080.68,0,1.96
2,total,-,12240,18240,60,119,9,8400,180,4663.95,3808.95,15,990,13315.41,0,2.23
3,total,-,12240,18240,60,116,12,8310,270,5750.72,4940.72,10,720,17110.51,7.7946e-05,2.75
4,total,-,12240,18240,60,111,15,7860,540,3924.66,3009.66,10,750,19100.92,0,2.46
5,total,-,12240,18240,60,107,22,7410,60,3586.87,2896.87,12,720,25685.2,0,2.38
6,total,-,12240,18240,60,108,17,7590,90,4112.41,3272.41,17,1020,20656.4,0,2.47
7,total,-,12240,18240,60,107,21,7560,240,4317.79,3642.79,8,540,25125.57,0,2.07
