operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,8,18,1,1290,0,530,320,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,6,13,0,960,0,315,210,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,8,18,0,1170,0,437,287,15 - (83.33)%,990 - (84.62)%
3,0,1080,2280,5,12,0,990,0,328,208,0 - (0.00)%,0 - (0.00)%
4,0,1440,2280,6,13,0,1020,0,423,318,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,8,14,1,840,0,489,294,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,9,17,3,1140,0,487,232,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,10,17,2,1200,0,432,207,5 - (29.41)%,360 - (30.00)%

mean,-,1530.0,2280.0,7.5,15.25,0.88,1076.25,0.0,430.12,259.5,10.0 - (56.37%),675.0 - (57.31%)
min,-,900,-,5,12,0,840,0,315,207,5 - (29.41%),360 - (30.00%)
25th percentile,-,1215.0,-,6.0,13.0,0.0,982.5,0.0,399.25,209.5,7.5 - (42.89%),517.5 - (43.66%)
75th percentile,-,1845.0,-,8.25,17.25,1.25,1177.5,0.0,487.5,300.0,12.5 - (69.85%),832.5 - (70.96%)
max,-,2160,-,10,18,3,1290,0,530,320,15 - (83.33%),990 - (84.62%)
total,-,12240,18240,60,122,7,8610,0,3441,2076,20,1350
