test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.25,2.25,975.0,0.0,602.5,493.75,8.0 - (45.56%),510.0 - (44.72%),22233,8.6497e-05,2.53
1,mean,-,1530.0,2280.0,7.5,14.25,1.62,1031.25,7.5,624.88,536.75,9.0 - (49.55%),795.0 - (57.25%),17726.86,0,2.89
2,mean,-,1530.0,2280.0,7.5,14.12,1.88,990.0,11.25,791.38,714.5,7.5 - (48.34%),540.0 - (52.02%),20159.29,0,2.33
3,mean,-,1530.0,2280.0,7.5,13.62,1.5,1031.25,0.0,489.62,380.88,7.0 - (50.0%),525.0 - (50.76%),15556,0,2.72
4,mean,-,1530.0,2280.0,7.5,14.88,0.75,1091.25,26.25,481.12,364.88,7.0 - (46.22%),480.0 - (42.78%),9826.01,0,3.97
5,mean,-,1530.0,2280.0,7.5,14.38,2.12,971.25,0.0,570.75,460.12,9.5 - (55.55%),705.0 - (57.32%),21213,0,3.61
6,mean,-,1530.0,2280.0,7.5,15.38,1.25,1046.25,0.0,489.88,353.0,7.0 - (43.95%),450.0 - (39.49%),13608,0,2.69
7,mean,-,1530.0,2280.0,7.5,15.5,1.62,1038.75,71.25,556.25,438.12,7.5 - (45.11%),510.0 - (45.24%),16945.17,0,2.61
8,mean,-,1530.0,2280.0,7.5,15.38,1.25,1042.5,71.25,457.5,316.88,8.0 - (45.26%),555.0 - (47.44%),13640.17,0,2.55
9,mean,-,1530.0,2280.0,7.5,14.62,1.38,1035.0,7.5,474.75,328.5,7.5 - (49.14%),705.0 - (54.94%),14704.86,0,2.3

0,total,-,12240,18240,60,114,18,7800,0,4820,3950,16,1020,22233,8.6497e-05,2.53
1,total,-,12240,18240,60,114,13,8250,60,4999,4294,18,1590,17726.86,0,2.89
2,total,-,12240,18240,60,113,15,7920,90,6331,5716,15,1080,20159.29,0,2.33
3,total,-,12240,18240,60,109,12,8250,0,3917,3047,14,1050,15556,0,2.72
4,total,-,12240,18240,60,119,6,8730,210,3849,2919,14,960,9826.01,0,3.97
5,total,-,12240,18240,60,115,17,7770,0,4566,3681,19,1410,21213,0,3.61
6,total,-,12240,18240,60,123,10,8370,0,3919,2824,14,900,13608,0,2.69
7,total,-,12240,18240,60,124,13,8310,570,4450,3505,15,1020,16945.17,0,2.61
8,total,-,12240,18240,60,123,10,8340,570,3660,2535,16,1110,13640.17,0,2.55
9,total,-,12240,18240,60,117,11,8280,60,3798,2628,15,1410,14704.86,0,2.3
