operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,10,17,3,1320,0,875.29,845.29,0 - (0.00)%,0 - (0.00)%
1,0,1140,2280,6,11,0,960,0,827.17,812.17,0 - (0.00)%,0 - (0.00)%
2,0,1740,2280,7,13,0,960,0,493.49,448.49,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,6,13,0,870,0,449.85,434.85,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,5,12,1,780,0,1101.34,1086.34,4 - (33.33)%,240 - (30.77)%
5,0,1800,2280,7,13,1,1140,0,486.28,426.28,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,6,14,0,960,0,460.94,415.94,0 - (0.00)%,0 - (0.00)%
7,0,1020,2280,6,13,0,1020,0,1055.03,1040.03,0 - (0.00)%,0 - (0.00)%
8,1,2040,2280,6,16,0,1140,0,896.57,881.57,6 - (37.50)%,360 - (31.58)%
9,0,1320,2280,12,19,0,1260,0,902.88,842.88,0 - (0.00)%,0 - (0.00)%
10,0,1560,2280,10,21,1,1380,0,1018.36,928.36,0 - (0.00)%,0 - (0.00)%
11,1,1980,2280,8,19,1,1320,0,890.15,800.15,7 - (36.84)%,480 - (36.36)%
12,0,960,2280,8,13,0,1080,120,844.48,814.48,0 - (0.00)%,0 - (0.00)%
13,1,1860,2280,9,21,1,1500,0,877.21,727.21,8 - (38.10)%,660 - (44.00)%
14,0,1200,2280,9,18,2,1170,0,798.3,708.3,0 - (0.00)%,0 - (0.00)%
15,0,1380,2280,5,9,0,630,0,500.68,485.68,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,15.12,0.62,1093.12,7.5,779.88,731.13,6.25 - (36.44%),435.0 - (35.68%)
min,-,900,-,5,9,0,630,0,449.85,415.94,4 - (33.33%),240 - (30.77%)
25th percentile,-,1185.0,-,6.0,13.0,0.0,960.0,0.0,498.88,476.38,5.5 - (35.96%),330.0 - (31.38%)
75th percentile,-,1815.0,-,9.0,18.25,1.0,1275.0,0.0,898.15,854.36,7.25 - (37.65%),525.0 - (38.27%)
max,-,2160,-,12,21,3,1500,120,1101.34,1086.34,8 - (38.10%),660 - (44.00%)
total,-,24120,36480,120,242,10,17490,120,12478.02,11698.02,25,1740
