operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,7,15,0,900,0,663.54,573.54,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,9,19,3,1470,0,427.29,97.29,10 - (52.63)%,870 - (59.18)%
2,0,1440,2280,8,18,0,1260,0,573.27,408.27,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,6,11,0,720,0,353.79,248.79,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,6,12,0,720,0,431.48,356.48,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,14,19,9,1380,0,520.01,355.01,10 - (52.63)%,780 - (56.52)%
6,0,1800,2280,4,8,1,540,0,324.68,264.68,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,6,14,0,1080,0,502.02,397.02,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.5,1.62,1008.75,0.0,474.51,337.64,10.0 - (52.63%),825.0 - (57.85%)
min,-,900,-,4,8,0,540,0,324.68,97.29,10 - (52.63%),780 - (56.52%)
25th percentile,-,1215.0,-,6.0,11.75,0.0,720.0,0.0,408.92,260.71,10.0 - (52.63%),802.5 - (57.18%)
75th percentile,-,1845.0,-,8.25,18.25,1.5,1290.0,0.0,533.33,399.83,10.0 - (52.63%),847.5 - (58.52%)
max,-,2160,-,14,19,9,1470,0,663.54,573.54,10 - (52.63%),870 - (59.18%)
total,-,12240,18240,60,116,13,8070,0,3796.08,2701.08,20,1650
