operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,10,23,2,1560,300,976,796,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,2,4,0,480,0,217,172,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,8,16,0,1140,0,637,532,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,8,13,1,960,0,510,420,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,9,16,4,1050,0,623,503,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,7,14,0,1260,0,709,664,7 - (50.00)%,660 - (52.38)%
6,1,2160,2280,8,15,0,960,0,623,503,3 - (20.00)%,180 - (18.75)%
7,0,900,2280,8,17,2,1140,240,610,490,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.75,1.12,1068.75,67.5,613.12,510.0,5.0 - (35.0%),420.0 - (35.56%)
min,-,900,-,2,4,0,480,0,217,172,3 - (20.00%),180 - (18.75%)
25th percentile,-,1215.0,-,7.75,13.75,0.0,960.0,0.0,585.0,472.5,4.0 - (27.5%),300.0 - (27.16%)
75th percentile,-,1845.0,-,8.25,16.25,2.0,1170.0,60.0,655.0,565.0,6.0 - (42.5%),540.0 - (43.97%)
max,-,2160,-,10,23,4,1560,300,976,796,7 - (50.00%),660 - (52.38%)
total,-,12240,18240,60,118,9,8550,540,4905,4080,10,840
