operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,5,9,0,540,0,195,0,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,12,20,6,1470,0,611,386,14 - (70.00)%,1020 - (69.39)%
2,0,1260,2280,7,13,0,930,0,384,294,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,4,8,1,840,0,268,253,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,9,21,2,1320,0,546,396,7 - (33.33)%,480 - (36.36)%
5,0,1080,2280,5,9,0,540,0,288,198,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,11,21,1,1530,0,590,410,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,7,15,1,1050,0,330,120,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.5,1.38,1027.5,0.0,401.5,257.12,10.5 - (51.66%),750.0 - (52.88%)
min,-,900,-,4,8,0,540,0,195,0,7 - (33.33%),480 - (36.36%)
25th percentile,-,1215.0,-,5.0,9.0,0.0,765.0,0.0,283.0,178.5,8.75 - (42.5%),615.0 - (44.62%)
75th percentile,-,1845.0,-,9.5,20.25,1.25,1357.5,0.0,557.0,388.5,12.25 - (60.83%),885.0 - (61.13%)
max,-,2160,-,12,21,6,1530,0,611,410,14 - (70.00%),1020 - (69.39%)
total,-,12240,18240,60,116,11,8220,0,3212,2057,21,1500
