test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.88,2.12,978.75,37.5,594.23,502.35,10.5 - (50.0%),705.0 - (47.59%),21744.04,0,2.26
1,mean,-,1530.0,2280.0,7.5,14.62,1.12,1046.25,67.5,562.57,453.82,7.5 - (44.84%),555.0 - (45.15%),13265.84,7.585e-05,6.68
2,mean,-,1530.0,2280.0,7.5,15.0,1.25,1046.25,15.0,525.64,401.89,8.0 - (42.5%),600.0 - (43.56%),14497.38,0,2.06
3,mean,-,1530.0,2280.0,7.5,14.0,2.0,1005.0,45.0,478.23,391.98,8.0 - (48.88%),630.0 - (55.0%),20218.57,0,2.08
4,mean,-,1530.0,2280.0,7.5,14.5,1.5,1023.75,0.0,534.66,418.41,11.5 - (54.76%),825.0 - (57.29%),16315.88,9.3678e-05,3.67
5,mean,-,1530.0,2280.0,7.5,15.0,1.25,1046.25,15.0,494.97,352.47,4.5 - (33.33%),330.0 - (36.61%),14126.42,7.4806e-05,2.78
6,mean,-,1530.0,2280.0,7.5,14.62,1.88,993.75,0.0,491.54,369.66,11.0 - (59.08%),705.0 - (57.22%),18812.52,0,2.28
7,mean,-,1530.0,2280.0,7.5,13.38,2.12,952.5,0.0,496.21,359.34,4.5 - (32.15%),375.0 - (35.72%),21073.28,0,2.36

0,total,-,12240,18240,60,111,17,7830,300,4753.83,4018.8300000000004,21,1410,21744.04,0,2.26
1,total,-,12240,18240,60,117,9,8370,540,4500.549999999999,3630.5499999999997,15,1110,13265.84,7.585e-05,6.68
2,total,-,12240,18240,60,120,10,8370,120,4205.14,3215.1400000000003,16,1200,14497.38,0,2.06
3,total,-,12240,18240,60,112,16,8040,360,3825.84,3135.84,16,1260,20218.57,0,2.08
4,total,-,12240,18240,60,116,12,8190,0,4277.25,3347.25,23,1650,16315.88,9.3678e-05,3.67
5,total,-,12240,18240,60,120,10,8370,120,3959.7799999999997,2819.7799999999997,9,660,14126.42,7.4806e-05,2.78
6,total,-,12240,18240,60,117,15,7950,0,3932.2800000000007,2957.2799999999997,22,1410,18812.52,0,2.28
7,total,-,12240,18240,60,107,17,7620,0,3969.6800000000003,2874.6800000000003,9,750,21073.28,0,2.36
