operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,5,12,0,870,0,361,256,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,8,20,0,1350,0,535,310,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,11,18,1,1110,0,479,314,8 - (44.44)%,510 - (45.95)%
3,0,1080,2280,7,16,0,1020,0,526,391,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,8,17,0,1170,0,576,456,10 - (58.82)%,600 - (51.28)%
5,0,1620,2280,8,18,1,1350,0,649,499,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,7,14,0,1170,0,310,100,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,6,10,0,930,0,415,370,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.62,0.25,1121.25,0.0,481.38,337.0,9.0 - (51.63%),555.0 - (48.62%)
min,-,900,-,5,10,0,870,0,310,100,8 - (44.44%),510 - (45.95%)
25th percentile,-,1215.0,-,6.75,13.5,0.0,997.5,0.0,401.5,296.5,8.5 - (48.04%),532.5 - (47.28%)
75th percentile,-,1845.0,-,8.0,18.0,0.25,1215.0,0.0,545.25,407.25,9.5 - (55.22%),577.5 - (49.95%)
max,-,2160,-,11,20,1,1350,0,649,499,10 - (58.82%),600 - (51.28%)
total,-,12240,18240,60,125,2,8970,0,3851,2696,18,1110
