test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.0,0.88,1072.5,52.5,451.33,286.33,8.0 - (46.8%),600.0 - (48.26%),10820.26,0,8.07
1,mean,-,1530.0,2280.0,7.5,15.75,0.88,1072.5,18.75,690.76,567.01,8.0 - (48.88%),540.0 - (47.54%),11551.82,4.5929e-05,115.18
2,mean,-,1530.0,2280.0,7.5,15.25,0.75,1087.5,0.0,494.92,358.04,7.0 - (39.8%),450.0 - (36.55%),10225.34,0,2.71
3,mean,-,1530.0,2280.0,7.5,14.5,0.88,1068.75,0.0,546.82,383.69,8.5 - (47.62%),660.0 - (51.38%),10901.98,8.1699e-05,146.68
4,mean,-,1530.0,2280.0,7.5,15.0,0.5,1098.75,33.75,553.12,435.0,9.5 - (45.24%),780.0 - (50.92%),8217.219,0,40.35
5,mean,-,1530.0,2280.0,7.5,15.0,1.0,1068.75,0.0,519.09,393.46,9.0 - (45.66%),585.0 - (45.04%),11963.8,1.9375e-05,23.26
6,mean,-,1530.0,2280.0,7.5,15.38,0.75,1087.5,15.0,504.91,354.91,7.5 - (43.3%),525.0 - (44.13%),9855.958,0,3.01
7,mean,-,1530.0,2280.0,7.5,15.12,0.88,1053.75,15.0,554.85,419.85,9.0 - (50.88%),675.0 - (55.7%),11389.1,2.4847e-05,7.2

0,total,-,12240,18240,60,112,7,8580,420,3610.65,2290.65,16,1200,10820.26,0,8.07
1,total,-,12240,18240,60,126,7,8580,150,5526.09,4536.09,16,1080,11551.82,4.5929e-05,115.18
2,total,-,12240,18240,60,122,6,8700,0,3959.33,2864.33,14,900,10225.34,0,2.71
3,total,-,12240,18240,60,116,7,8550,0,4374.539999999999,3069.54,17,1320,10901.98,8.1699e-05,146.68
4,total,-,12240,18240,60,120,4,8790,270,4425.0,3480.0,19,1560,8217.219,0,40.35
5,total,-,12240,18240,60,120,8,8550,0,4152.6900000000005,3147.69,18,1170,11963.8,1.9375e-05,23.26
6,total,-,12240,18240,60,123,6,8700,120,4039.3,2839.3,15,1050,9855.958,0,3.01
7,total,-,12240,18240,60,121,7,8430,120,4438.83,3358.83,18,1350,11389.1,2.4847e-05,7.2
