operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,8,14,3,990,0,726,636,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,9,17,3,1260,360,630,525,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,10,20,3,1320,0,583,388,11 - (55.00)%,660 - (50.00)%
3,0,1800,2280,3,5,0,540,0,361,361,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,8,13,0,1080,0,367,232,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,7,12,3,900,0,708,633,6 - (50.00)%,450 - (50.00)%
6,0,1080,2280,5,13,0,870,0,498,408,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,10,15,4,1020,0,584,494,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.62,2.0,997.5,45.0,557.12,459.62,8.5 - (52.5%),555.0 - (50.0%)
min,-,900,-,3,5,0,540,0,361,232,6 - (50.00%),450 - (50.00%)
25th percentile,-,1215.0,-,6.5,12.75,0.0,892.5,0.0,465.25,381.25,7.25 - (51.25%),502.5 - (50.0%)
75th percentile,-,1845.0,-,9.25,15.5,3.0,1125.0,0.0,649.5,552.0,9.75 - (53.75%),607.5 - (50.0%)
max,-,2160,-,10,20,4,1320,360,726,636,11 - (55.00%),660 - (50.00%)
total,-,12240,18240,60,109,16,7980,360,4457,3677,17,1110
