operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,8,16,2,1050,0,425.75,290.75,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,8,16,1,1230,150,586.65,466.65,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,5,10,0,690,0,251.05,146.05,0 - (0.00)%,0 - (0.00)%
3,0,1260,2280,6,16,2,1020,0,555.8,510.8,0 - (0.00)%,0 - (0.00)%
4,0,1440,2280,7,14,0,1050,0,573.93,513.93,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,8,14,3,1170,0,444.22,324.22,5 - (35.71)%,450 - (38.46)%
6,1,1980,2280,7,13,1,930,0,506.36,431.36,2 - (15.38)%,180 - (19.35)%
7,0,1800,2280,11,19,1,1260,0,546.27,411.27,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.75,1.25,1050.0,18.75,486.25,386.88,3.5 - (25.55%),315.0 - (28.91%)
min,-,900,-,5,10,0,690,0,251.05,146.05,2 - (15.38%),180 - (19.35%)
25th percentile,-,1215.0,-,6.75,13.75,0.75,997.5,0.0,439.6,315.85,2.75 - (20.46%),247.5 - (24.13%)
75th percentile,-,1845.0,-,8.0,16.0,2.0,1185.0,0.0,560.33,477.69,4.25 - (30.63%),382.5 - (33.68%)
max,-,2160,-,11,19,3,1260,150,586.65,513.93,5 - (35.71%),450 - (38.46%)
total,-,12240,18240,60,118,10,8400,150,3890.03,3095.0299999999997,7,630
