operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,10,25,0,1590,0,938,668,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,7,13,2,990,0,554,449,6 - (46.15)%,360 - (36.36)%
2,0,1440,2280,7,18,0,1230,0,565,370,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,7,14,0,1020,120,501,366,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,10,18,0,1230,0,449,299,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,8,18,0,1140,0,578,458,6 - (33.33)%,360 - (31.58)%
6,0,1080,2280,5,8,0,780,0,269,254,0 - (0.00)%,0 - (0.00)%
7,0,1800,2280,6,11,0,930,0,351,291,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.62,0.25,1113.75,15.0,525.62,394.38,6.0 - (39.74%),360.0 - (33.97%)
min,-,900,-,5,8,0,780,0,269,254,6 - (33.33%),360 - (31.58%)
25th percentile,-,1215.0,-,6.75,12.5,0.0,975.0,0.0,424.5,297.0,6.0 - (36.53%),360.0 - (32.78%)
75th percentile,-,1845.0,-,8.5,18.0,0.0,1230.0,0.0,568.25,451.25,6.0 - (42.94%),360.0 - (35.16%)
max,-,2160,-,10,25,2,1590,120,938,668,6 - (46.15%),360 - (36.36%)
total,-,12240,18240,60,125,2,8910,120,4205,3155,12,720
