operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,6,5,4,390,0,340,325,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,10,17,3,1020,120,520,340,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,7,11,0,1020,0,477,432,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,10,21,5,1440,0,1007,827,13 - (61.90)%,900 - (62.50)%
4,0,1800,2280,6,15,0,1050,0,602,482,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,8,16,2,1230,0,595,460,7 - (43.75)%,570 - (46.34)%
6,0,1440,2280,9,19,0,1320,0,915,810,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,4,9,0,630,0,434,344,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.12,1.75,1012.5,15.0,611.25,502.5,10.0 - (52.83%),735.0 - (54.42%)
min,-,900,-,4,5,0,390,0,340,325,7 - (43.75%),570 - (46.34%)
25th percentile,-,1215.0,-,6.0,10.5,0.0,922.5,0.0,466.25,343.0,8.5 - (48.29%),652.5 - (50.38%)
75th percentile,-,1845.0,-,9.25,17.5,3.25,1252.5,0.0,680.25,564.0,11.5 - (57.36%),817.5 - (58.46%)
max,-,2160,-,10,21,5,1440,120,1007,827,13 - (61.90%),900 - (62.50%)
total,-,12240,18240,60,113,14,8100,120,4890,4020,20,1470
