operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,8,15,0,1140,0,760,685,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,9,15,0,1080,0,603,513,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,9,18,0,1380,0,330,0,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,7,14,3,960,0,685,550,6 - (42.86)%,360 - (37.50)%
4,0,900,2280,7,19,0,1230,330,400,160,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,5,14,0,990,0,406,256,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,9,18,1,1140,0,365,80,4 - (22.22)%,270 - (23.68)%
7,0,1260,2280,6,15,0,960,0,557,512,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,16.0,0.5,1110.0,41.25,513.25,344.5,5.0 - (32.54%),315.0 - (30.59%)
min,-,900,-,5,14,0,960,0,330,0,4 - (22.22%),270 - (23.68%)
25th percentile,-,1215.0,-,6.75,14.75,0.0,982.5,0.0,391.25,140.0,4.5 - (27.38%),292.5 - (27.14%)
75th percentile,-,1845.0,-,9.0,18.0,0.25,1162.5,0.0,623.5,522.25,5.5 - (37.7%),337.5 - (34.04%)
max,-,2160,-,9,19,3,1380,330,760,685,6 - (42.86%),360 - (37.50%)
total,-,12240,18240,60,128,4,8880,330,4106,2756,10,630
