operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,6,13,2,900,0,546,456,0 - (0.00)%,0 - (0.00)%
1,0,1260,2280,10,23,1,1680,420,674,494,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,8,15,0,1080,0,529,364,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,11,15,6,1170,0,868,823,9 - (60.00)%,720 - (61.54)%
4,0,1080,2280,4,6,0,420,0,211,136,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,6,13,0,1110,210,480,360,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,8,17,2,1110,0,957,912,11 - (64.71)%,720 - (64.86)%
7,0,1440,2280,7,15,0,900,0,824,734,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.62,1.38,1046.25,78.75,636.12,534.88,10.0 - (62.35%),720.0 - (63.2%)
min,-,900,-,4,6,0,420,0,211,136,9 - (60.00%),720 - (61.54%)
25th percentile,-,1215.0,-,6.0,13.0,0.0,900.0,0.0,516.75,363.0,9.5 - (61.18%),720.0 - (62.37%)
75th percentile,-,1845.0,-,8.5,15.5,2.0,1125.0,52.5,835.0,756.25,10.5 - (63.53%),720.0 - (64.03%)
max,-,2160,-,11,23,6,1680,420,957,912,11 - (64.71%),720 - (64.86%)
total,-,12240,18240,60,117,11,8370,630,5089,4279,20,1440
