test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.62,1.12,1053.75,33.75,548.7,415.58,7.0 - (39.7%),495.0 - (41.38%),13327,0,3.19
1,mean,-,1530.0,2280.0,7.5,14.38,2.0,1001.25,18.75,654.29,547.42,10.0 - (50.79%),630.0 - (49.31%),20453.26,0,2.35
2,mean,-,1530.0,2280.0,7.5,14.5,1.5,1023.75,67.5,567.71,470.21,8.5 - (51.28%),510.0 - (43.59%),16796.66,3.1289e-05,2.49
3,mean,-,1530.0,2280.0,7.5,14.25,1.25,1038.75,41.25,565.02,482.52,6.5 - (37.02%),465.0 - (38.51%),14415.61,0,2.41
4,mean,-,1530.0,2280.0,7.5,14.88,0.62,1102.5,48.75,630.75,516.38,10.5 - (58.23%),780.0 - (57.77%),9891.329,0,2.36
5,mean,-,1530.0,2280.0,7.5,14.88,1.25,1042.5,30.0,479.62,327.74,9.5 - (59.38%),675.0 - (60.78%),14261.96,0,2.51
6,mean,-,1530.0,2280.0,7.5,14.0,1.88,982.5,3.75,574.07,482.2,3.5 - (24.05%),270.0 - (27.2%),18908.06,8.3631e-05,2.19
7,mean,-,1530.0,2280.0,7.5,14.75,1.25,1023.75,15.0,504.31,376.81,7.5 - (46.88%),480.0 - (45.17%),13928.05,0,3.01

0,total,-,12240,18240,60,117,9,8430,270,4389.61,3324.61,14,990,13327,0,3.19
1,total,-,12240,18240,60,115,16,8010,150,5234.32,4379.32,20,1260,20453.26,0,2.35
2,total,-,12240,18240,60,116,12,8190,540,4541.68,3761.68,17,1020,16796.66,3.1289e-05,2.49
3,total,-,12240,18240,60,114,10,8310,330,4520.139999999999,3860.14,13,930,14415.61,0,2.41
4,total,-,12240,18240,60,119,5,8820,390,5046.01,4131.01,21,1560,9891.329,0,2.36
5,total,-,12240,18240,60,119,10,8340,240,3836.9300000000003,2621.9300000000003,19,1350,14261.96,0,2.51
6,total,-,12240,18240,60,112,15,7860,30,4592.58,3857.58,7,540,18908.06,8.3631e-05,2.19
7,total,-,12240,18240,60,118,10,8190,120,4034.48,3014.48,15,960,13928.05,0,3.01
