operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,6,15,1,960,0,670.92,625.92,0 - (0.00)%,0 - (0.00)%
1,0,1260,2280,9,15,2,1230,0,614.61,464.61,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,5,7,0,420,0,178.14,58.14,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,7,17,1,1170,0,751.83,646.83,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,11,19,2,1440,0,830.14,665.14,10 - (52.63)%,690 - (47.92)%
5,0,1620,2280,8,16,1,1170,0,827.32,722.32,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,9,20,2,1440,0,1011.57,936.57,6 - (30.00)%,390 - (27.08)%
7,0,1080,2280,5,8,1,570,0,267.04,132.04,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.62,1.25,1050.0,0.0,643.95,531.45,8.0 - (41.31%),540.0 - (37.5%)
min,-,900,-,5,7,0,420,0,178.14,58.14,6 - (30.00%),390 - (27.08%)
25th percentile,-,1215.0,-,5.75,13.25,1.0,862.5,0.0,527.72,381.47,7.0 - (35.66%),465.0 - (32.29%)
75th percentile,-,1845.0,-,9.0,17.5,2.0,1282.5,0.0,828.03,679.44,9.0 - (46.97%),615.0 - (42.71%)
max,-,2160,-,11,20,2,1440,0,1011.57,936.57,10 - (52.63%),690 - (47.92%)
total,-,12240,18240,60,117,10,8400,0,5151.57,4251.57,16,1080
