operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,8,17,2,1230,0,532,352,0 - (0.00)%,0 - (0.00)%
1,0,1260,2280,9,13,1,960,0,482,392,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,11,21,4,1470,0,962,782,17 - (80.95)%,1170 - (79.59)%
3,0,1800,2280,5,11,0,840,0,561,456,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,5,12,0,810,0,524,464,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,6,10,0,660,0,237,72,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,10,22,2,1380,0,890,740,13 - (59.09)%,780 - (56.52)%
7,0,1080,2280,6,12,1,960,0,616,556,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.75,1.25,1038.75,0.0,600.5,476.75,15.0 - (70.02%),975.0 - (68.06%)
min,-,900,-,5,10,0,660,0,237,72,13 - (59.09%),780 - (56.52%)
25th percentile,-,1215.0,-,5.75,11.75,0.0,832.5,0.0,513.5,382.0,14.0 - (64.56%),877.5 - (62.29%)
75th percentile,-,1845.0,-,9.25,18.0,2.0,1267.5,0.0,684.5,602.0,16.0 - (75.48%),1072.5 - (73.82%)
max,-,2160,-,11,22,4,1470,0,962,782,17 - (80.95%),1170 - (79.59%)
total,-,12240,18240,60,118,10,8310,0,4804,3814,30,1950
