test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,15.25,0.94,1087.5,16.88,804.14,738.51,9.5 - (53.91%),690.0 - (53.78%),25614.78,9.877e-05,7483.73
1,mean,-,1507.5,2280.0,7.5,15.25,1.0,1070.62,20.62,852.22,783.78,8.25 - (45.8%),555.0 - (44.69%),27013.63,9.9709e-05,653.16
2,mean,-,1507.5,2280.0,7.5,15.06,1.25,1061.25,43.12,882.99,811.74,9.75 - (49.55%),720.0 - (51.62%),31545.24,9.4886e-05,1070.23
3,mean,-,1507.5,2280.0,7.5,15.31,0.5,1111.88,48.75,725.5,633.62,7.0 - (38.07%),540.0 - (40.72%),18784.26,9.9641e-05,4252.73
4,mean,-,1507.5,2280.0,7.5,15.25,0.81,1078.12,0.0,830.74,736.99,6.5 - (35.87%),502.5 - (36.09%),22478.83,7.7004e-05,10826.56

0,total,-,24120,36480,120,244,15,17400,270,12866.23,11816.23,38,2760,25614.78,9.877e-05,7483.73
1,total,-,24120,36480,120,244,16,17130,330,13635.44,12540.439999999999,33,2220,27013.63,9.9709e-05,653.16
2,total,-,24120,36480,120,241,20,16980,690,14127.880000000001,12987.88,39,2880,31545.24,9.4886e-05,1070.23
3,total,-,24120,36480,120,245,8,17790,780,11607.980000000001,10137.98,28,2160,18784.26,9.9641e-05,4252.73
4,total,-,24120,36480,120,244,13,17250,0,13291.86,11791.86,26,2010,22478.83,7.7004e-05,10826.56
