operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,9,18,0,1170,0,683.79,578.79,0 - (0.00)%,0 - (0.00)%
1,0,1320,2280,8,16,0,1110,0,817.61,787.61,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,6,15,0,1110,210,634.59,499.59,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,8,15,2,1080,0,981.49,951.49,9 - (60.00)%,630 - (58.33)%
4,0,1740,2280,11,18,4,1410,0,730.31,685.31,0 - (0.00)%,0 - (0.00)%
5,0,960,2280,9,18,1,1080,120,616.48,451.48,0 - (0.00)%,0 - (0.00)%
6,0,1560,2280,1,2,0,120,0,104.82,104.82,0 - (0.00)%,0 - (0.00)%
7,0,1020,2280,7,13,5,870,0,516.34,501.34,0 - (0.00)%,0 - (0.00)%
8,0,1140,2280,9,18,0,1170,30,708.35,648.35,0 - (0.00)%,0 - (0.00)%
9,0,1380,2280,7,12,1,1110,0,916.12,826.12,0 - (0.00)%,0 - (0.00)%
10,1,2040,2280,8,13,4,810,0,518.06,338.06,5 - (38.46)%,300 - (37.04)%
11,1,1860,2280,7,17,1,1110,0,853.61,808.61,3 - (17.65)%,180 - (16.22)%
12,0,1200,2280,7,15,2,1020,0,955.78,940.78,0 - (0.00)%,0 - (0.00)%
13,0,1800,2280,7,16,0,1080,0,547.84,442.84,0 - (0.00)%,0 - (0.00)%
14,0,1440,2280,5,12,0,870,0,902.73,902.73,0 - (0.00)%,0 - (0.00)%
15,1,2160,2280,11,23,1,1620,0,830.43,710.43,12 - (52.17)%,840 - (51.85)%

mean,-,1507.5,2280.0,7.5,15.06,1.31,1046.25,22.5,707.4,636.15,7.25 - (42.07%),487.5 - (40.86%)
min,-,900,-,1,2,0,120,0,104.82,104.82,3 - (17.65%),180 - (16.22%)
25th percentile,-,1185.0,-,7.0,13.0,0.0,982.5,0.0,599.32,487.56,4.5 - (33.26%),270.0 - (31.84%)
75th percentile,-,1815.0,-,9.0,18.0,2.0,1125.0,0.0,865.89,812.99,9.75 - (54.13%),682.5 - (53.47%)
max,-,2160,-,11,23,5,1620,210,981.49,951.49,12 - (60.00%),840 - (58.33%)
total,-,24120,36480,120,241,21,16740,360,11318.349999999999,10178.349999999999,29,1950
