test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.31,1.38,1038.75,35.62,807.68,734.55,7.25 - (45.6%),487.5 - (44.43%),32429.6,9.7376e-05,529.27
1,mean,-,1507.5,2280.0,7.5,15.69,0.31,1134.38,75.0,856.83,798.71,6.25 - (41.3%),412.5 - (38.41%),16609.53,8.8361e-05,1200.67
2,mean,-,1507.5,2280.0,7.5,15.19,0.88,1081.88,63.75,863.68,801.8,8.5 - (47.78%),600.0 - (48.58%),26044.42,9.7282e-05,448.13
3,mean,-,1507.5,2280.0,7.5,14.94,0.94,1076.25,26.25,691.84,616.84,9.0 - (53.85%),652.5 - (54.31%),25159.9,0.02129902,13841.99
4,mean,-,1507.5,2280.0,7.5,15.56,0.5,1102.5,15.0,720.35,634.1,8.0 - (44.3%),540.0 - (42.72%),17658.7,2.29629918e-06,184.6

0,total,-,24120,36480,120,229,22,16620,570,12922.8,11752.8,29,1950,32429.6,9.7376e-05,529.27
1,total,-,24120,36480,120,251,5,18150,1200,13709.32,12779.32,25,1650,16609.53,8.8361e-05,1200.67
2,total,-,24120,36480,120,243,14,17310,1020,13818.83,12828.83,34,2400,26044.42,9.7282e-05,448.13
3,total,-,24120,36480,120,239,15,17220,420,11069.439999999999,9869.439999999999,36,2610,25159.9,0.02129902,13841.99
4,total,-,24120,36480,120,249,8,17640,240,11525.580000000002,10145.580000000002,32,2160,17658.7,2.29629918e-06,184.6
