operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1740,2280,8,12,0,1020,0,811.57,781.57,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,8,16,1,1140,0,888.7,783.7,0 - (0.00)%,0 - (0.00)%
2,0,1320,2280,6,8,0,540,0,1138.18,1093.18,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,7,17,3,1230,0,1313.62,1283.62,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,11,20,3,1380,0,1155.6,1035.6,10 - (50.00)%,780 - (56.52)%
5,0,1380,2280,11,19,4,1260,0,639.83,474.83,0 - (0.00)%,0 - (0.00)%
6,0,1020,2280,8,17,0,1140,120,1038.87,1008.87,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,10,14,2,1020,0,1537.94,1507.94,7 - (50.00)%,480 - (47.06)%
8,0,900,2280,4,8,0,480,0,555.87,555.87,0 - (0.00)%,0 - (0.00)%
9,1,2040,2280,9,21,2,1500,0,846.23,756.23,11 - (52.38)%,780 - (52.00)%
10,0,960,2280,8,18,1,1290,330,683.4,593.4,0 - (0.00)%,0 - (0.00)%
11,0,1200,2280,8,21,0,1440,240,914.67,839.67,0 - (0.00)%,0 - (0.00)%
12,0,1560,2280,4,6,0,480,0,284.93,239.93,0 - (0.00)%,0 - (0.00)%
13,1,1860,2280,8,24,1,1650,0,788.45,548.45,11 - (45.83)%,840 - (50.91)%
14,0,1140,2280,8,15,3,960,0,1080.93,1035.93,0 - (0.00)%,0 - (0.00)%
15,0,1620,2280,2,5,0,450,0,449.09,449.09,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,15.06,1.25,1061.25,43.12,882.99,811.74,9.75 - (49.55%),720.0 - (51.62%)
min,-,900,-,2,5,0,450,0,284.93,239.93,7 - (45.83%),480 - (47.06%)
25th percentile,-,1185.0,-,6.75,11.0,0.0,855.0,0.0,672.51,554.02,9.25 - (48.96%),705.0 - (49.95%)
75th percentile,-,1815.0,-,8.25,19.25,2.25,1312.5,0.0,1095.24,1035.68,11.0 - (50.6%),795.0 - (53.13%)
max,-,2160,-,11,24,4,1650,330,1537.94,1507.94,11 - (52.38%),840 - (56.52%)
total,-,24120,36480,120,241,20,16980,690,14127.880000000001,12987.88,39,2880
