test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.81,0.75,1087.5,1.88,868.88,831.38,8.75 - (50.86%),660.0 - (51.23%),24463.89,6.7152e-05,216.04
1,mean,-,1507.5,2280.0,7.5,15.12,0.88,1080.0,5.62,758.41,689.03,9.0 - (46.16%),652.5 - (47.06%),24447.76,0,51.69
2,mean,-,1507.5,2280.0,7.5,14.5,0.88,1081.88,26.25,778.35,706.17,10.75 - (56.23%),765.0 - (56.89%),25538.93,0,29.34
3,mean,-,1507.5,2280.0,7.5,15.38,0.56,1104.38,28.12,785.15,732.65,9.0 - (49.48%),607.5 - (51.38%),20185.77,1.1002e-05,46.7
4,mean,-,1507.5,2280.0,7.5,13.75,1.62,997.5,43.12,946.06,883.24,7.0 - (44.48%),532.5 - (45.68%),36430.54,6.831423834e-06,23.74

0,total,-,24120,36480,120,237,12,17400,30,13902.14,13302.14,35,2640,24463.89,6.7152e-05,216.04
1,total,-,24120,36480,120,242,14,17280,90,12134.529999999999,11024.529999999999,36,2610,24447.76,0,51.69
2,total,-,24120,36480,120,232,14,17310,420,12453.650000000001,11298.650000000001,43,3060,25538.93,0,29.34
3,total,-,24120,36480,120,246,9,17670,450,12562.43,11722.43,36,2430,20185.77,1.1002e-05,46.7
4,total,-,24120,36480,120,220,26,15960,690,15136.89,14131.89,28,2130,36430.54,6.831423834e-06,23.74
