operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,8,14,2,1020,0,433,328,6 - (42.86)%,450 - (44.12)%
1,0,1080,2280,13,20,10,1410,330,614,464,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,5,8,0,540,0,301,241,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,7,12,1,1020,0,470,410,4 - (33.33)%,360 - (35.29)%
4,0,1800,2280,7,13,2,870,0,463,403,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,8,12,8,900,0,469,379,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,5,9,0,600,0,251,176,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,7,14,0,1020,0,416,266,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,12.75,2.88,922.5,41.25,427.12,333.38,5.0 - (38.09%),405.0 - (39.7%)
min,-,900,-,5,8,0,540,0,251,176,4 - (33.33%),360 - (35.29%)
25th percentile,-,1215.0,-,6.5,11.25,0.0,802.5,0.0,387.25,259.75,4.5 - (35.71%),382.5 - (37.5%)
75th percentile,-,1845.0,-,8.0,14.0,3.5,1020.0,0.0,469.25,404.75,5.5 - (40.48%),427.5 - (41.91%)
max,-,2160,-,13,20,10,1410,330,614,464,6 - (42.86%),450 - (44.12%)
total,-,12240,18240,60,102,23,7380,330,3417,2667,10,810
