operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,8,17,0,1080,0,446,191,3 - (17.65)%,180 - (16.67)%
1,1,1980,2280,8,16,1,1020,0,611,416,11 - (68.75)%,660 - (64.71)%
2,0,1620,2280,5,9,0,840,0,501,471,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,10,21,2,1260,0,504,204,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,8,19,0,1320,60,660,480,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,8,16,0,1320,0,615,480,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,8,14,2,960,60,789,729,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,5,8,5,600,0,610,595,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.0,1.25,1050.0,15.0,592.0,445.75,7.0 - (43.2%),420.0 - (40.69%)
min,-,900,-,5,8,0,600,0,446,191,3 - (17.65%),180 - (16.67%)
25th percentile,-,1215.0,-,7.25,12.75,0.0,930.0,0.0,503.25,363.0,5.0 - (30.42%),300.0 - (28.68%)
75th percentile,-,1845.0,-,8.0,17.5,2.0,1275.0,15.0,626.25,508.75,9.0 - (55.98%),540.0 - (52.7%)
max,-,2160,-,10,21,5,1320,60,789,729,11 - (68.75%),660 - (64.71%)
total,-,12240,18240,60,120,10,8400,120,4736,3566,14,840
