test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,15.31,0.94,1066.88,45.0,896.19,847.44,9.25 - (52.04%),735.0 - (56.41%),26987.98,9.983e-05,10708.0
1,mean,-,1507.5,2280.0,7.5,15.44,0.12,1128.75,84.38,668.88,602.32,8.25 - (43.75%),592.5 - (46.09%),12530.98,0.052783346,14298.94
2,mean,-,1507.5,2280.0,7.5,15.25,0.88,1066.88,30.0,772.78,703.41,7.75 - (40.0%),517.5 - (38.72%),24649.72,8.3802e-05,220.24
3,mean,-,1507.5,2280.0,7.5,14.62,0.69,1078.12,9.38,627.13,548.38,9.0 - (52.2%),712.5 - (55.92%),20723.02,9.3963e-05,1122.24
4,mean,-,1507.5,2280.0,7.5,15.31,0.62,1091.25,18.75,799.85,742.66,9.0 - (45.37%),562.5 - (43.35%),21230.48,9.6305e-05,2714.51

0,total,-,24120,36480,120,245,15,17070,720,14339.02,13559.02,37,2940,26987.98,9.983e-05,10708.0
1,total,-,24120,36480,120,247,2,18060,1350,10702.14,9637.14,33,2370,12530.98,0.052783346,14298.94
2,total,-,24120,36480,120,244,14,17070,480,12364.54,11254.54,31,2070,24649.72,8.3802e-05,220.24
3,total,-,24120,36480,120,234,11,17250,150,10034.04,8774.04,36,2850,20723.02,9.3963e-05,1122.24
4,total,-,24120,36480,120,245,10,17460,300,12797.619999999999,11882.619999999999,36,2250,21230.48,9.6305e-05,2714.51
