operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,7,16,0,1020,0,993,903,9 - (56.25)%,600 - (58.82)%
1,1,2160,2280,7,16,1,990,0,443,323,3 - (18.75)%,180 - (18.18)%
2,0,1260,2280,12,25,6,1740,480,948,798,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,5,9,1,540,0,275,140,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,4,5,0,300,0,280,265,0 - (0.00)%,0 - (0.00)%
5,0,1080,2280,10,18,3,1320,240,693,573,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,9,15,4,1080,0,802,697,0 - (0.00)%,0 - (0.00)%
7,0,1800,2280,6,12,1,1020,0,400,355,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.5,2.0,1001.25,90.0,604.25,506.75,6.0 - (37.5%),390.0 - (38.5%)
min,-,900,-,4,5,0,300,0,275,140,3 - (18.75%),180 - (18.18%)
25th percentile,-,1215.0,-,5.75,11.25,0.75,877.5,0.0,370.0,308.5,4.5 - (28.12%),285.0 - (28.34%)
75th percentile,-,1845.0,-,9.25,16.5,3.25,1140.0,60.0,838.5,722.25,7.5 - (46.88%),495.0 - (48.66%)
max,-,2160,-,12,25,6,1740,480,993,903,9 - (56.25%),600 - (58.82%)
total,-,12240,18240,60,116,16,8010,720,4834,4054,12,780
