operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,5,9,0,630,0,348,303,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,10,18,2,1290,0,524,404,8 - (44.44)%,540 - (41.86)%
2,1,2160,2280,10,22,3,1350,0,607,487,10 - (45.45)%,600 - (44.44)%
3,0,1620,2280,5,11,0,720,0,370,340,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,7,12,1,720,0,549,459,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,5,12,0,900,0,744,684,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,8,20,0,1260,0,492,357,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,10,20,5,1530,630,609,429,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.5,1.38,1050.0,78.75,530.38,432.88,9.0 - (44.95%),570.0 - (43.15%)
min,-,900,-,5,9,0,630,0,348,303,8 - (44.44%),540 - (41.86%)
25th percentile,-,1215.0,-,5.0,11.75,0.0,720.0,0.0,461.5,352.75,8.5 - (44.69%),555.0 - (42.5%)
75th percentile,-,1845.0,-,10.0,20.0,2.25,1305.0,0.0,607.5,466.0,9.5 - (45.2%),585.0 - (43.8%)
max,-,2160,-,10,22,5,1530,630,744,684,10 - (45.45%),600 - (44.44%)
total,-,12240,18240,60,124,11,8400,630,4243,3463,18,1140
