operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,7,15,0,1080,0,518,368,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,6,13,0,960,0,409,319,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,10,16,6,1260,0,664,574,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,7,17,2,1050,0,534,384,10 - (58.82)%,600 - (57.14)%
4,0,900,2280,6,12,0,870,0,402,312,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,10,18,2,1290,0,696,591,9 - (50.00)%,720 - (55.81)%
6,0,1260,2280,8,18,0,1380,120,620,515,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,6,10,0,600,0,346,256,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.88,1.25,1061.25,15.0,523.62,414.88,9.5 - (54.41%),660.0 - (56.48%)
min,-,900,-,6,10,0,600,0,346,256,9 - (50.00%),600 - (55.81%)
25th percentile,-,1215.0,-,6.0,12.75,0.0,937.5,0.0,407.25,317.25,9.25 - (52.2%),630.0 - (56.14%)
75th percentile,-,1845.0,-,8.5,17.25,2.0,1267.5,0.0,631.0,529.75,9.75 - (56.62%),690.0 - (56.81%)
max,-,2160,-,10,18,6,1380,120,696,591,10 - (58.82%),720 - (57.14%)
total,-,12240,18240,60,119,10,8490,120,4189,3319,19,1320
