test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.0,2.0,982.5,0.0,615.25,536.5,7.0 - (46.85%),450.0 - (42.8%),20823,0,2.26
1,mean,-,1530.0,2280.0,7.5,13.75,2.75,922.5,0.0,648.0,548.62,9.0 - (61.3%),540.0 - (57.71%),26574,0,2.83
2,mean,-,1530.0,2280.0,7.5,13.25,2.5,933.75,15.0,512.88,417.25,6.5 - (48.48%),420.0 - (42.88%),23783.72,5.4239e-05,2.0
3,mean,-,1530.0,2280.0,7.5,14.0,1.88,990.0,45.0,506.88,388.75,6.5 - (46.92%),495.0 - (47.64%),18998.16,0,2.28
4,mean,-,1530.0,2280.0,7.5,12.75,2.5,930.0,7.5,576.0,467.25,8.5 - (55.48%),615.0 - (54.87%),23613.86,0,1.96
5,mean,-,1530.0,2280.0,7.5,13.88,2.0,975.0,41.25,557.25,482.25,9.0 - (48.75%),585.0 - (46.37%),20422.73,0,2.18
6,mean,-,1530.0,2280.0,7.5,12.88,2.75,918.75,0.0,532.0,432.62,5.5 - (36.88%),375.0 - (36.1%),25735,0,2.65
7,mean,-,1530.0,2280.0,7.5,13.88,2.25,948.75,18.75,453.5,348.5,7.0 - (42.06%),465.0 - (40.01%),21414.15,0,2.36
8,mean,-,1530.0,2280.0,7.5,12.75,2.88,922.5,41.25,427.12,333.38,5.0 - (38.09%),405.0 - (39.7%),26448.73,0,2.11
9,mean,-,1530.0,2280.0,7.5,12.25,3.5,900.0,0.0,494.5,387.62,5.0 - (38.38%),390.0 - (37.72%),31252,0,2.2

0,total,-,12240,18240,60,112,16,7860,0,4922,4292,14,900,20823,0,2.26
1,total,-,12240,18240,60,110,22,7380,0,5184,4389,18,1080,26574,0,2.83
2,total,-,12240,18240,60,106,20,7470,120,4103,3338,13,840,23783.72,5.4239e-05,2.0
3,total,-,12240,18240,60,112,15,7920,360,4055,3110,13,990,18998.16,0,2.28
4,total,-,12240,18240,60,102,20,7440,60,4608,3738,17,1230,23613.86,0,1.96
5,total,-,12240,18240,60,111,16,7800,330,4458,3858,18,1170,20422.73,0,2.18
6,total,-,12240,18240,60,103,22,7350,0,4256,3461,11,750,25735,0,2.65
7,total,-,12240,18240,60,111,18,7590,150,3628,2788,14,930,21414.15,0,2.36
8,total,-,12240,18240,60,102,23,7380,330,3417,2667,10,810,26448.73,0,2.11
9,total,-,12240,18240,60,98,28,7200,0,3956,3101,10,780,31252,0,2.2
